# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.679000e+02	1.001991e+00	2.840211e+00
-2.632000e+02	4.293131e-01	2.808201e+00
-2.585000e+02	7.103989e-01	2.824362e+00
-2.538000e+02	4.425222e-01	2.808461e+00
-2.491000e+02	6.288710e-01	2.818747e+00
-2.444000e+02	-1.168549e-01	2.775782e+00
-2.397000e+02	-4.035782e-01	2.758192e+00
-2.350000e+02	-3.100231e-01	2.764380e+00
-2.303000e+02	-2.157599e-01	2.770049e+00
-2.256000e+02	-6.900649e-01	2.742556e+00
-2.209000e+02	-3.427954e-02	2.779593e+00
-2.162000e+02	1.632273e-01	2.792408e+00
-2.115000e+02	1.642754e-01	2.793223e+00
-2.068000e+02	2.511388e-01	2.796680e+00
-2.021000e+02	3.487622e-01	2.802182e+00
-1.974000e+02	-3.035253e-01	2.764646e+00
-1.927000e+02	-7.749086e-01	2.737521e+00
-1.880000e+02	-5.099626e-01	2.752346e+00
-1.833000e+02	-1.070304e+00	2.719766e+00
-1.786000e+02	-8.887753e-01	2.729849e+00
-1.739000e+02	-1.075097e+00	2.718656e+00
-1.692000e+02	-6.954729e-01	2.740070e+00
-1.645000e+02	-5.075860e-01	2.750422e+00
-1.598000e+02	1.442505e+00	2.868445e+00
-1.551000e+02	8.840743e-01	2.836385e+00
-1.504000e+02	-6.025356e-01	2.746722e+00
-1.457000e+02	-2.177380e-01	2.768398e+00
-1.410000e+02	1.500373e-01	2.790286e+00
-1.363000e+02	-4.309855e-01	2.759162e+00
-1.316000e+02	-6.941071e-01	2.741637e+00
-1.269000e+02	-4.184795e-01	2.755214e+00
-1.222000e+02	-1.076248e+00	2.718852e+00
-1.175000e+02	-6.134731e-01	2.746608e+00
-1.128000e+02	-5.965264e-01	2.747344e+00
-1.081000e+02	-1.912387e+00	2.669920e+00
-1.034000e+02	-1.634789e+00	2.686784e+00
-9.870000e+01	5.166940e-02	2.782499e+00
-9.400000e+01	-1.632501e+00	2.686759e+00
-8.930000e+01	-3.085574e-02	2.780915e+00
-8.460000e+01	-2.310980e-01	2.768710e+00
-7.990000e+01	8.014381e-01	2.829044e+00
-7.520000e+01	-4.059538e-01	2.758392e+00
-7.050000e+01	-1.157928e-01	2.775956e+00
-6.580000e+01	7.220242e-01	2.823984e+00
-6.110000e+01	6.237450e-01	2.818398e+00
-5.640000e+01	9.149114e-01	2.836661e+00
-5.170000e+01	2.463011e-01	2.796981e+00
-4.700000e+01	6.206060e-01	2.818602e+00
-4.230000e+01	7.187044e-01	2.823846e+00
-3.760000e+01	7.141183e-01	2.824366e+00
-3.290000e+01	1.279408e+00	2.856964e+00
-2.820000e+01	2.034691e+00	2.899241e+00
-2.350000e+01	6.556016e+00	3.163865e+00
-1.880000e+01	8.326333e+00	3.269185e+00
-1.410000e+01	1.846491e+01	3.854818e+00
-9.400000e+00	2.788692e+01	4.413956e+00
-4.700000e+00	3.814761e+01	4.958345e+00
0.000000e+00	4.265901e+01	5.239581e+00
4.700000e+00	4.318212e+01	5.260059e+00
9.400000e+00	4.522996e+01	5.378897e+00
