# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.632000e+02	-7.935992e-02	2.798386e+00
-2.585000e+02	-3.566973e-01	2.783926e+00
-2.538000e+02	9.547816e-01	2.860393e+00
-2.491000e+02	1.130720e-02	2.801495e+00
-2.444000e+02	3.726612e-01	2.825555e+00
-2.397000e+02	-6.590163e-01	2.759110e+00
-2.350000e+02	-5.640295e-01	2.769249e+00
-2.303000e+02	-6.422998e-01	2.764122e+00
-2.256000e+02	-5.460525e-01	2.770648e+00
-2.209000e+02	-7.372560e-01	2.760035e+00
-2.162000e+02	-1.582819e+00	2.710120e+00
-2.115000e+02	-1.585889e+00	2.709550e+00
-2.068000e+02	-7.452315e-01	2.758805e+00
-2.021000e+02	-5.517843e-01	2.770538e+00
-1.974000e+02	-2.586277e-01	2.788677e+00
-1.927000e+02	-4.483388e-01	2.776671e+00
-1.880000e+02	-2.724612e-01	2.786191e+00
-1.833000e+02	-2.685192e-01	2.785750e+00
-1.786000e+02	2.841397e-01	2.819396e+00
-1.739000e+02	-2.755900e-01	2.786441e+00
-1.692000e+02	5.718064e-01	2.836279e+00
-1.645000e+02	9.565920e-03	2.803176e+00
-1.598000e+02	1.946856e-01	2.814103e+00
-1.551000e+02	-4.572243e-01	2.776166e+00
-1.504000e+02	-8.310802e-02	2.797826e+00
-1.457000e+02	6.624840e-01	2.841363e+00
-1.410000e+02	-5.618822e-01	2.769728e+00
-1.363000e+02	-2.732657e-01	2.785511e+00
-1.316000e+02	-4.587009e-01	2.775384e+00
-1.269000e+02	-1.787123e-01	2.792301e+00
-1.222000e+02	-3.711653e-01	2.780534e+00
-1.175000e+02	2.902473e-01	2.817520e+00
-1.128000e+02	6.658879e-01	2.836244e+00
-1.081000e+02	-3.605737e-01	2.782089e+00
-1.034000e+02	7.753169e-01	2.847394e+00
-9.870000e+01	5.903972e-01	2.841064e+00
-9.400000e+01	-1.016395e+00	2.743752e+00
-8.930000e+01	-1.298549e+00	2.726532e+00
-8.460000e+01	-2.727017e-01	2.787104e+00
-7.990000e+01	-4.556712e-01	2.775506e+00
-7.520000e+01	-5.522700e-01	2.770131e+00
-7.050000e+01	1.501044e+00	2.892694e+00
-6.580000e+01	1.991259e-01	2.815401e+00
-6.110000e+01	-8.355145e-01	2.752908e+00
-5.640000e+01	-3.610830e-01	2.780345e+00
-5.170000e+01	-6.464333e-01	2.764528e+00
-4.700000e+01	-2.801897e-01	2.785617e+00
-4.230000e+01	7.624947e-01	2.846112e+00
-3.760000e+01	1.318804e+00	2.878998e+00
-3.290000e+01	1.321148e+00	2.876778e+00
-2.820000e+01	3.221677e+00	2.993968e+00
-2.350000e+01	4.333567e+00	3.054370e+00
-1.880000e+01	6.303534e+00	3.164686e+00
-1.410000e+01	1.005825e+01	3.388434e+00
-9.400000e+00	1.793652e+01	3.839409e+00
-4.700000e+00	2.470275e+01	4.230901e+00
0.000000e+00	3.916991e+01	5.056622e+00
4.700000e+00	3.959900e+01	5.080648e+00
9.400000e+00	4.341447e+01	5.313435e+00
1.410000e+01	4.512387e+01	5.391383e+00
1.880000e+01	4.612379e+01	5.457563e+00
2.350000e+01	3.802171e+01	5.003654e+00
2.820000e+01	3.753905e+01	4.941179e+00
3.290000e+01	3.435079e+01	4.788309e+00
3.760000e+01	2.560246e+01	4.278275e+00
4.230000e+01	2.091550e+01	4.018906e+00
4.700000e+01	1.763962e+01	3.824160e+00
5.170000e+01	1.661931e+01	3.764226e+00
5.640000e+01	1.022778e+01	3.396635e+00
6.110000e+01	9.023804e+00	3.329846e+00
6.580000e+01	6.289766e+00	3.170001e+00
7.050000e+01	4.315635e+00	3.054693e+00
7.520000e+01	3.208910e+00	2.990176e+00
7.990000e+01	2.637165e+00	2.957131e+00
8.460000e+01	1.329383e+00	2.880104e+00
8.930000e+01	1.531536e+00	2.894259e+00
9.400000e+01	2.167725e+00	2.929534e+00
9.870000e+01	9.552362e-01	2.858715e+00
1.034000e+02	1.045524e+00	2.863744e+00
1.081000e+02	1.249007e+00	2.878635e+00
1.128000e+02	1.987942e+00	2.919382e+00
1.175000e+02	1.521218e+00	2.893207e+00
1.222000e+02	7.586046e-01	2.846287e+00
1.269000e+02	1.033794e+00	2.863116e+00
1.316000e+02	5.844801e-01	2.837213e+00
1.363000e+02	-2.589921e-01	2.789258e+00
1.410000e+02	-3.680417e-01	2.780908e+00
1.457000e+02	3.906730e-01	2.826619e+00
1.504000e+02	9.538947e-02	2.808818e+00
1.551000e+02	6.586208e-01	2.838343e+00
1.598000e+02	-8.432295e-02	2.797083e+00
1.645000e+02	-1.879101e-01	2.791103e+00
1.692000e+02	-7.390198e-01	2.759199e+00
1.739000e+02	-8.368694e-01	2.752778e+00
1.786000e+02	7.495149e-01	2.845934e+00
1.833000e+02	1.028919e+00	2.862644e+00
1.880000e+02	1.039556e-01	2.808685e+00
1.927000e+02	-1.892209e-01	2.788659e+00
1.974000e+02	1.225268e-03	2.801544e+00
2.021000e+02	-2.695446e-01	2.786266e+00
2.068000e+02	2.018410e-01	2.814581e+00
2.115000e+02	3.888904e-01	2.823911e+00
2.162000e+02	3.309523e+00	2.979778e+00
2.209000e+02	-8.850400e-02	2.795983e+00
2.256000e+02	1.801458e+00	2.907822e+00
2.303000e+02	4.830293e-01	2.831041e+00
2.350000e+02	1.969524e-01	2.814720e+00
2.397000e+02	4.877225e-01	2.830690e+00
2.444000e+02	1.035430e+00	2.861417e+00
2.491000e+02	5.719373e-01	2.833532e+00
2.538000e+02	-8.341984e-01	2.753055e+00
2.585000e+02	3.981951e-01	2.826377e+00
2.632000e+02	-1.677595e+00	2.704872e+00
2.679000e+02	3.877855e-01	2.822979e+00
2.726000e+02	-1.199604e+00	2.733076e+00
2.773000e+02	-8.378352e-01	2.753760e+00
2.820000e+02	-1.396381e+00	2.720077e+00
2.867000e+02	-1.303896e+00	2.726575e+00
2.914000e+02	-9.272565e-01	2.748385e+00
2.961000e+02	-1.307817e+00	2.726167e+00
3.008000e+02	-1.310006e+00	2.725973e+00
3.055000e+02	-1.392673e+00	2.720905e+00
3.102000e+02	-1.584910e+00	2.709895e+00
3.149000e+02	-1.488199e+00	2.714947e+00
3.196000e+02	-1.396393e+00	2.720496e+00
3.243000e+02	-9.337079e-01	2.746800e+00
3.290000e+02	-4.520796e-01	2.775547e+00
3.337000e+02	-7.293942e-01	2.759329e+00
3.384000e+02	-9.227047e-01	2.747059e+00
3.431000e+02	-1.776061e+00	2.697738e+00
3.478000e+02	-1.316371e+00	2.725394e+00
3.525000e+02	-1.219808e+00	2.730907e+00
3.572000e+02	-1.299736e+00	2.726474e+00
3.619000e+02	-1.582426e+00	2.709449e+00
3.666000e+02	-1.864503e+00	2.693151e+00
3.713000e+02	-1.118502e+00	2.737091e+00
3.760000e+02	-1.210068e+00	2.731460e+00
3.807000e+02	-1.112936e+00	2.737644e+00
3.854000e+02	-6.461901e-01	2.761885e+00
3.901000e+02	-8.207220e-01	2.756435e+00
3.948000e+02	2.974885e-01	2.820414e+00
3.995000e+02	-1.494806e+00	2.715126e+00
4.042000e+02	-1.672372e+00	2.705065e+00
4.089000e+02	-1.484981e+00	2.715852e+00
4.136000e+02	-3.486672e-01	2.784244e+00
