# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.679000e+02	8.405474e-01	2.699281e+00
-2.632000e+02	1.303039e+00	2.724245e+00
-2.585000e+02	2.538247e+00	2.796189e+00
-2.538000e+02	8.461807e-01	2.698118e+00
-2.491000e+02	-6.626992e-01	2.610888e+00
-2.444000e+02	-9.364668e-01	2.593512e+00
-2.397000e+02	1.020499e-01	2.652900e+00
-2.350000e+02	2.788055e-01	2.665018e+00
-2.303000e+02	-4.723939e-01	2.621808e+00
-2.256000e+02	-7.539363e-01	2.604795e+00
-2.209000e+02	-9.325971e-01	2.592177e+00
-2.162000e+02	-4.609004e-01	2.619872e+00
-2.115000e+02	-7.364158e-01	2.603262e+00
-2.068000e+02	-8.282803e-01	2.597056e+00
-2.021000e+02	-2.651869e-01	2.629588e+00
-1.974000e+02	-4.543182e-01	2.620406e+00
-1.927000e+02	4.059079e-01	2.670700e+00
-1.880000e+02	2.024236e-02	2.647603e+00
-1.833000e+02	8.517699e-01	2.695915e+00
-1.786000e+02	-5.638363e-01	2.614350e+00
-1.739000e+02	-6.455316e-01	2.608633e+00
-1.692000e+02	-7.390957e-01	2.602746e+00
-1.645000e+02	-4.660219e-01	2.619448e+00
-1.598000e+02	-1.593239e+00	2.553169e+00
-1.551000e+02	-9.395373e-01	2.591860e+00
-1.504000e+02	2.959879e-01	2.662843e+00
-1.457000e+02	7.436642e-01	2.692998e+00
-1.410000e+02	1.018087e-01	2.651311e+00
-1.363000e+02	8.703778e-01	2.693305e+00
-1.316000e+02	1.134333e-01	2.652299e+00
-1.269000e+02	6.600651e-01	2.688469e+00
-1.222000e+02	7.380521e-03	2.649199e+00
-1.175000e+02	3.780887e-01	2.670742e+00
-1.128000e+02	-4.700822e-01	2.621232e+00
-1.081000e+02	-8.340566e-01	2.597451e+00
-1.034000e+02	-8.428623e-01	2.598693e+00
-9.870000e+01	-5.556850e-01	2.615149e+00
-9.400000e+01	-9.539093e-02	2.643803e+00
-8.930000e+01	-1.937358e-01	2.634587e+00
-8.460000e+01	-4.761540e-01	2.620904e+00
-7.990000e+01	-1.999474e-01	2.639242e+00
-7.520000e+01	3.759285e-04	2.648070e+00
-7.050000e+01	2.736156e-01	2.665433e+00
-6.580000e+01	1.229223e+00	2.719463e+00
-6.110000e+01	1.334864e+00	2.724916e+00
-5.640000e+01	-3.489461e-01	2.625540e+00
-5.170000e+01	1.115403e-01	2.653184e+00
-4.700000e+01	1.344119e+00	2.722133e+00
-4.230000e+01	8.578852e-01	2.698066e+00
-3.760000e+01	5.744700e-01	2.681534e+00
-3.290000e+01	1.240442e+00	2.720061e+00
-2.820000e+01	3.416219e+00	2.844619e+00
-2.350000e+01	6.623692e+00	3.036694e+00
-1.880000e+01	1.149013e+01	3.322783e+00
-1.410000e+01	1.684998e+01	3.626864e+00
-9.400000e+00	2.518965e+01	4.113461e+00
-4.700000e+00	4.153897e+01	5.041710e+00
0.000000e+00	4.886618e+01	5.445222e+00
4.700000e+00	5.195532e+01	5.610387e+00
9.400000e+00	4.958177e+01	5.495134e+00
1.410000e+01	4.479672e+01	5.196275e+00
1.880000e+01	4.544221e+01	5.264051e+00
2.350000e+01	4.116059e+01	5.037016e+00
2.820000e+01	3.666084e+01	4.782194e+00
3.290000e+01	3.060445e+01	4.431783e+00
3.760000e+01	2.565257e+01	4.138219e+00
4.230000e+01	2.318036e+01	3.994878e+00
4.700000e+01	1.541143e+01	3.540993e+00
5.170000e+01	1.106855e+01	3.298363e+00
5.640000e+01	8.614512e+00	3.162165e+00
6.110000e+01	9.013273e+00	3.177273e+00
6.580000e+01	6.940947e+00	3.058905e+00
7.050000e+01	5.279203e+00	2.951444e+00
7.520000e+01	3.792659e+00	2.869834e+00
7.990000e+01	2.266165e+00	2.780509e+00
8.460000e+01	1.511354e+00	2.736588e+00
8.930000e+01	2.166341e+00	2.776298e+00
9.400000e+01	1.222820e+00	2.720387e+00
9.870000e+01	1.131682e+00	2.714621e+00
1.034000e+02	1.714650e+00	2.747071e+00
1.081000e+02	1.429419e+00	2.730011e+00
1.128000e+02	1.624836e+00	2.738480e+00
1.175000e+02	1.809162e+00	2.752082e+00
1.222000e+02	2.007554e+00	2.764663e+00
1.269000e+02	2.929601e+00	2.816918e+00
1.316000e+02	1.145751e+00	2.709384e+00
1.363000e+02	1.507269e+00	2.735432e+00
1.410000e+02	2.243536e+00	2.781898e+00
1.457000e+02	1.792773e+00	2.751553e+00
1.504000e+02	1.787195e+00	2.749643e+00
1.551000e+02	1.963383e+00	2.764373e+00
1.598000e+02	1.144055e+00	2.712445e+00
1.645000e+02	4.791713e-01	2.675522e+00
1.692000e+02	8.612282e-01	2.696456e+00
1.739000e+02	2.665147e+00	2.801359e+00
1.786000e+02	2.271372e+00	2.778273e+00
1.833000e+02	1.036941e+00	2.703749e+00
1.880000e+02	3.804167e-01	2.668806e+00
1.927000e+02	5.790382e-01	2.679929e+00
1.974000e+02	2.551771e+00	2.795889e+00
2.021000e+02	6.734498e-01	2.685502e+00
2.068000e+02	-4.712937e-04	2.648028e+00
2.115000e+02	1.791626e+00	2.745071e+00
2.162000e+02	2.770970e-01	2.664524e+00
2.209000e+02	4.784946e-01	2.675002e+00
2.256000e+02	3.744058e-01	2.672009e+00
2.303000e+02	8.352898e-01	2.695956e+00
2.350000e+02	-5.645699e-01	2.615020e+00
2.397000e+02	1.029253e+00	2.709514e+00
2.444000e+02	1.017719e-01	2.653088e+00
2.491000e+02	8.499878e-01	2.698311e+00
2.538000e+02	1.505930e+00	2.737521e+00
2.585000e+02	3.841908e-01	2.668842e+00
2.632000e+02	2.257229e+00	2.779183e+00
2.679000e+02	8.052690e-03	2.647710e+00
2.726000e+02	-1.820761e-01	2.636485e+00
2.773000e+02	3.815240e-01	2.670342e+00
2.820000e+02	-1.125245e+00	2.582289e+00
2.867000e+02	-9.358581e-01	2.592273e+00
2.914000e+02	-1.215111e+00	2.576276e+00
2.961000e+02	4.793323e-01	2.675565e+00
3.008000e+02	1.167302e-02	2.647159e+00
3.055000e+02	1.963874e-01	2.657945e+00
3.102000e+02	8.637360e-02	2.654740e+00
3.149000e+02	2.946897e-01	2.663118e+00
3.196000e+02	7.539629e-01	2.686205e+00
3.243000e+02	6.796721e-01	2.686701e+00
3.290000e+02	5.807911e-01	2.678339e+00
3.337000e+02	1.087834e-01	2.654075e+00
3.384000e+02	-3.590047e-01	2.626090e+00
3.431000e+02	2.938259e-01	2.664516e+00
3.478000e+02	2.888183e-01	2.664529e+00
3.525000e+02	-2.742679e-01	2.630704e+00
3.572000e+02	-1.030548e+00	2.587001e+00
3.619000e+02	-6.481665e-01	2.604629e+00
3.666000e+02	-2.657001e-01	2.626415e+00
3.713000e+02	-9.272711e-01	2.591645e+00
3.760000e+02	-1.030171e+00	2.587488e+00
3.807000e+02	-1.654003e-01	2.635700e+00
3.854000e+02	-1.203184e+00	2.574937e+00
3.901000e+02	-2.666157e-01	2.630726e+00
3.948000e+02	-5.543345e-01	2.614036e+00
3.995000e+02	-5.463657e-01	2.614798e+00
4.042000e+02	-1.207204e+00	2.576023e+00
4.089000e+02	-6.480324e-01	2.609600e+00
