# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.021000e+02	-1.381640e-01	5.430646e+00
-1.974000e+02	-3.294747e+00	5.272638e+00
-1.927000e+02	-2.104961e-01	5.434732e+00
-1.880000e+02	-2.114993e-01	5.442934e+00
-1.833000e+02	7.924520e-01	5.456068e+00
-1.786000e+02	-1.788547e+00	5.348517e+00
-1.739000e+02	1.378797e-01	5.454805e+00
-1.692000e+02	-1.897234e+00	5.365248e+00
-1.645000e+02	3.376485e-01	5.459391e+00
-1.598000e+02	1.217004e+00	5.507102e+00
-1.551000e+02	-2.208476e+00	5.324713e+00
-1.504000e+02	1.319820e-01	5.456862e+00
-1.457000e+02	5.136634e+00	5.754368e+00
-1.410000e+02	1.193524e-01	5.483661e+00
-1.363000e+02	-4.344281e+00	5.219178e+00
-1.316000e+02	-3.855234e+00	5.245114e+00
-1.269000e+02	-4.869605e+00	5.193252e+00
-1.222000e+02	-2.838932e+00	5.295425e+00
-1.175000e+02	8.660357e-02	5.442556e+00
-1.128000e+02	-1.789476e+00	5.339636e+00
-1.081000e+02	-2.336888e+00	5.313171e+00
-1.034000e+02	-2.942075e+00	5.299274e+00
-9.870000e+01	-3.364702e+00	5.274635e+00
-9.400000e+01	1.809489e-01	5.464619e+00
-8.930000e+01	4.956926e+00	5.765733e+00
-8.460000e+01	2.031521e+00	5.559441e+00
-7.990000e+01	1.163519e+00	5.492029e+00
-7.520000e+01	1.187546e+00	5.495902e+00
-7.050000e+01	6.480085e+00	5.746364e+00
-6.580000e+01	6.802866e+00	5.778777e+00
-6.110000e+01	1.203937e+01	6.013913e+00
-5.640000e+01	6.985009e+00	5.796900e+00
-5.170000e+01	8.979443e+00	5.876354e+00
-4.700000e+01	1.088080e+01	5.967573e+00
-4.230000e+01	2.366197e+01	6.663614e+00
-3.760000e+01	3.254760e+01	7.004326e+00
-3.290000e+01	4.380654e+01	7.687611e+00
-2.820000e+01	6.137843e+01	8.403205e+00
-2.350000e+01	1.015300e+02	1.027334e+01
-1.880000e+01	1.093524e+02	1.080388e+01
-1.410000e+01	1.534277e+02	1.279066e+01
-9.400000e+00	1.505776e+02	1.276239e+01
-4.700000e+00	2.085575e+02	1.517813e+01
0.000000e+00	2.579044e+02	1.744080e+01
4.700000e+00	2.638932e+02	1.757063e+01
9.400000e+00	2.370848e+02	1.628843e+01
1.410000e+01	2.340547e+02	1.636511e+01
1.880000e+01	2.061263e+02	1.505828e+01
2.350000e+01	2.110434e+02	1.530669e+01
2.820000e+01	1.918735e+02	1.433940e+01
3.290000e+01	1.848785e+02	1.401901e+01
3.760000e+01	1.525472e+02	1.266335e+01
4.230000e+01	9.486279e+01	9.995762e+00
4.700000e+01	7.844390e+01	9.153212e+00
5.170000e+01	6.545597e+01	8.627560e+00
5.640000e+01	4.913159e+01	7.869952e+00
6.110000e+01	5.535692e+01	8.152716e+00
6.580000e+01	3.845248e+01	7.275606e+00
7.050000e+01	2.417256e+01	6.643556e+00
7.520000e+01	2.249741e+01	6.530418e+00
7.990000e+01	2.194972e+01	6.517922e+00
8.460000e+01	1.347658e+01	6.107651e+00
8.930000e+01	2.105841e+01	6.487658e+00
9.400000e+01	2.456007e+01	6.634193e+00
9.870000e+01	1.131351e+01	6.022978e+00
1.034000e+02	9.929564e+00	5.963497e+00
1.081000e+02	1.490847e+01	6.191910e+00
1.128000e+02	1.128671e+01	5.991103e+00
1.175000e+02	1.185574e+01	6.000104e+00
1.222000e+02	9.522989e+00	5.918989e+00
1.269000e+02	1.168942e+01	6.023647e+00
1.316000e+02	1.266862e+01	6.083394e+00
1.363000e+02	5.924637e+00	5.768552e+00
1.410000e+02	7.203460e+00	5.800543e+00
1.457000e+02	7.993339e+00	5.842958e+00
1.504000e+02	7.424765e+00	5.791517e+00
1.551000e+02	7.001394e+00	5.793366e+00
1.598000e+02	7.083202e+00	5.775669e+00
1.645000e+02	1.207092e+01	6.040995e+00
1.692000e+02	1.288989e+01	6.045716e+00
1.739000e+02	8.699442e+00	5.843932e+00
1.786000e+02	9.285153e+00	5.894038e+00
1.833000e+02	1.167367e+01	6.000299e+00
1.880000e+02	1.003426e+01	5.930148e+00
1.927000e+02	1.174424e+01	5.999890e+00
1.974000e+02	3.133999e+00	5.615785e+00
2.021000e+02	3.338254e+00	5.585618e+00
2.068000e+02	4.388844e+00	5.654219e+00
2.115000e+02	6.355453e+00	5.714296e+00
2.162000e+02	8.085451e+00	5.839265e+00
2.209000e+02	9.213357e+00	5.925496e+00
2.256000e+02	9.402319e+00	5.920246e+00
2.303000e+02	8.125391e+00	5.871379e+00
2.350000e+02	6.700557e+00	5.809606e+00
2.397000e+02	2.496016e+00	5.549866e+00
2.444000e+02	8.246624e+00	5.859072e+00
2.491000e+02	1.182002e+01	6.050429e+00
2.538000e+02	9.050712e+00	5.885707e+00
2.585000e+02	7.048229e+00	5.775525e+00
2.632000e+02	3.845671e+00	5.640957e+00
2.679000e+02	7.557969e+00	5.839003e+00
2.726000e+02	5.131425e+00	5.703611e+00
2.773000e+02	2.018179e+01	6.422076e+00
2.820000e+02	1.024548e+01	5.943856e+00
2.867000e+02	1.162666e+01	6.054338e+00
2.914000e+02	4.737144e+00	5.696330e+00
2.961000e+02	1.350993e+01	6.112334e+00
3.008000e+02	3.702873e+00	5.638291e+00
3.055000e+02	1.973273e+01	6.493353e+00
3.102000e+02	1.481690e+01	6.292762e+00
3.149000e+02	8.154764e+00	5.850644e+00
3.196000e+02	1.255198e+01	6.016756e+00
3.243000e+02	5.312940e+00	5.714384e+00
3.290000e+02	6.234079e+00	5.726665e+00
3.337000e+02	7.027964e-01	5.482221e+00
3.384000e+02	5.196540e+00	5.686525e+00
3.431000e+02	4.364135e+00	5.652833e+00
3.478000e+02	1.827232e+00	5.543439e+00
3.525000e+02	1.818518e+00	5.524015e+00
3.572000e+02	3.341512e+00	5.592376e+00
3.619000e+02	6.697317e+00	5.769424e+00
