# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-1.809500e+02	3.342622e+00	4.837392e+00
-1.762500e+02	-2.540976e-01	4.663903e+00
-1.715500e+02	-2.447655e-01	4.641759e+00
-1.668500e+02	-3.052243e-01	4.636238e+00
-1.621500e+02	2.565652e+00	4.758175e+00
-1.574500e+02	4.078735e+00	4.848031e+00
-1.527500e+02	1.931691e+00	4.748595e+00
-1.480500e+02	-1.645038e+00	4.571589e+00
-1.433500e+02	-1.701744e+00	4.571511e+00
-1.386500e+02	-2.838727e-01	4.646891e+00
-1.339500e+02	-1.667220e+00	4.581146e+00
-1.292500e+02	-3.044438e+00	4.536664e+00
-1.245500e+02	1.060598e+00	4.712442e+00
-1.198500e+02	2.559028e+00	4.742027e+00
-1.151500e+02	1.806898e+00	4.718628e+00
-1.104500e+02	5.340791e+00	4.869069e+00
-1.057500e+02	8.180112e+00	4.999821e+00
-1.010500e+02	5.443654e+00	4.881435e+00
-9.635000e+01	3.379381e+00	4.797862e+00
-9.165000e+01	5.938046e-01	4.679311e+00
-8.695000e+01	3.322452e+00	4.801737e+00
-8.225000e+01	4.550345e-01	4.693133e+00
-7.755000e+01	1.793156e+00	4.720757e+00
-7.285000e+01	7.480504e+00	4.984934e+00
-6.815000e+01	7.539668e+00	4.980780e+00
-6.345000e+01	1.035918e+01	5.125649e+00
-5.875000e+01	7.415158e+00	4.998122e+00
-5.405000e+01	1.511548e+01	5.341582e+00
-4.935000e+01	2.215846e+01	5.625974e+00
-4.465000e+01	3.417104e+01	6.136368e+00
-3.995000e+01	4.118823e+01	6.422325e+00
-3.525000e+01	5.463143e+01	6.963691e+00
-3.055000e+01	8.265454e+01	8.095101e+00
-2.585000e+01	7.467847e+01	7.783712e+00
-2.115000e+01	1.295868e+02	1.000209e+01
-1.645000e+01	1.836869e+02	1.225763e+01
-1.175000e+01	2.066349e+02	1.294986e+01
-7.050000e+00	2.362626e+02	1.434827e+01
-2.350000e+00	2.832094e+02	1.585039e+01
2.350000e+00	2.432403e+02	1.446091e+01
7.050000e+00	2.387483e+02	1.432714e+01
1.175000e+01	2.575690e+02	1.489496e+01
1.645000e+01	2.174791e+02	1.329192e+01
2.115000e+01	2.259619e+02	1.360323e+01
2.585000e+01	2.017542e+02	1.274050e+01
3.055000e+01	1.500120e+02	1.086979e+01
3.525000e+01	1.345635e+02	1.027640e+01
3.995000e+01	1.312249e+02	1.017193e+01
4.465000e+01	1.108464e+02	9.213105e+00
4.935000e+01	9.440561e+01	8.589770e+00
5.405000e+01	6.659671e+01	7.435894e+00
5.875000e+01	4.339057e+01	6.474631e+00
6.345000e+01	3.328138e+01	6.071616e+00
6.815000e+01	4.099736e+01	6.396275e+00
7.285000e+01	3.817735e+01	6.214298e+00
7.755000e+01	3.316155e+01	6.107722e+00
8.225000e+01	3.368202e+01	6.003338e+00
8.695000e+01	2.100621e+01	5.532202e+00
9.165000e+01	1.732449e+01	5.370391e+00
9.635000e+01	1.576873e+01	5.348202e+00
1.010500e+02	1.809177e+01	5.402248e+00
1.057500e+02	1.266371e+01	5.180446e+00
1.104500e+02	8.961847e+00	5.032037e+00
1.151500e+02	1.240595e+01	5.192615e+00
1.198500e+02	1.385958e+01	5.237768e+00
1.245500e+02	1.049794e+01	5.157023e+00
1.292500e+02	1.255871e+01	5.227720e+00
1.339500e+02	6.058838e+00	4.916360e+00
1.386500e+02	1.172004e+01	5.134459e+00
1.433500e+02	7.328882e+00	4.971232e+00
1.480500e+02	8.788630e+00	5.016921e+00
1.527500e+02	2.556968e+00	4.755407e+00
1.574500e+02	8.343844e+00	5.019613e+00
1.621500e+02	1.237757e+00	4.745178e+00
1.668500e+02	2.651416e+00	4.749130e+00
1.715500e+02	1.038392e+01	5.107379e+00
1.762500e+02	1.108568e+01	5.136011e+00
1.809500e+02	1.012558e+01	5.051688e+00
1.856500e+02	7.669259e+00	4.978273e+00
1.903500e+02	1.817723e+01	5.458635e+00
1.950500e+02	1.725261e+01	5.405667e+00
1.997500e+02	5.402305e+00	4.874990e+00
2.044500e+02	9.589695e+00	5.041854e+00
2.091500e+02	1.103385e+01	5.120410e+00
2.138500e+02	1.304233e+01	5.224755e+00
2.185500e+02	4.660128e+00	4.826868e+00
2.232500e+02	9.733310e+00	5.081350e+00
2.279500e+02	9.023340e+00	5.048803e+00
2.326500e+02	1.166279e+01	5.148341e+00
2.373500e+02	1.123355e+01	5.124409e+00
2.420500e+02	9.095092e+00	5.059688e+00
2.467500e+02	1.596876e+01	5.331153e+00
2.514500e+02	1.300620e+01	5.202036e+00
2.561500e+02	1.013785e+01	5.072214e+00
2.608500e+02	8.914812e+00	5.023216e+00
2.655500e+02	3.352476e+00	4.776952e+00
2.702500e+02	1.097023e+01	5.099930e+00
2.749500e+02	5.456374e+00	4.888129e+00
2.796500e+02	3.256943e+00	4.800747e+00
2.843500e+02	1.025042e+01	5.102276e+00
2.890500e+02	9.598140e+00	5.072384e+00
2.937500e+02	1.660999e+01	5.411945e+00
2.984500e+02	2.004994e+01	5.530285e+00
3.031500e+02	1.794558e+00	4.737790e+00
3.078500e+02	1.215638e+01	5.154006e+00
3.125500e+02	1.009957e+01	5.078602e+00
3.172500e+02	8.924064e+00	5.040617e+00
3.219500e+02	2.543710e+00	4.762457e+00
3.266500e+02	6.931314e+00	4.912480e+00
3.313500e+02	6.828559e+00	4.938173e+00
3.360500e+02	2.596654e+00	4.780330e+00
3.407500e+02	1.512892e+01	5.237897e+00
3.454500e+02	1.028173e+01	5.165425e+00
3.501500e+02	8.894561e+00	5.062706e+00
3.548500e+02	7.505437e+00	5.036449e+00
3.595500e+02	5.308158e+00	4.881697e+00
3.642500e+02	4.629361e+00	4.845484e+00
3.689500e+02	8.835227e+00	5.050078e+00
3.736500e+02	9.644204e+00	5.067983e+00
3.783500e+02	9.671396e+00	5.074020e+00
3.830500e+02	8.854829e+00	5.047839e+00
3.877500e+02	1.031440e+01	5.092253e+00
3.924500e+02	1.107079e+01	5.096995e+00
3.971500e+02	8.832881e+00	5.001470e+00
4.018500e+02	7.418779e+00	4.957916e+00
4.065500e+02	1.936553e+01	5.484615e+00
4.112500e+02	1.163884e+01	5.160589e+00
4.159500e+02	8.839923e+00	5.034722e+00
4.206500e+02	4.748768e+00	4.840253e+00
4.253500e+02	5.441129e+00	4.881379e+00
4.300500e+02	1.899768e+01	5.432622e+00
4.347500e+02	1.170142e+01	5.163759e+00
4.394500e+02	9.028770e+00	5.039991e+00
4.441500e+02	1.596894e+01	5.346201e+00
4.488500e+02	2.218362e+01	5.605299e+00
4.535500e+02	1.874840e+01	5.453335e+00
4.582500e+02	1.927697e+01	5.449144e+00
4.629500e+02	1.302299e+01	5.258510e+00
4.676500e+02	1.360752e+01	5.321700e+00
4.723500e+02	2.750038e+01	5.927165e+00
4.770500e+02	2.207100e+01	5.621452e+00
4.817500e+02	1.166571e+01	5.182646e+00
4.864500e+02	9.574218e+00	5.056634e+00
4.911500e+02	1.097637e+01	5.121690e+00
4.958500e+02	7.459655e+00	4.974403e+00
