# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-1.809500e+02	2.859415e+00	3.791929e+00
-1.762500e+02	-2.279118e-01	3.705256e+00
-1.715500e+02	-5.134289e+00	3.539192e+00
-1.668500e+02	-2.945171e+00	3.615116e+00
-1.621500e+02	-2.945171e+00	3.615116e+00
-1.574500e+02	-1.748114e+00	3.656517e+00
-1.527500e+02	-2.953154e+00	3.615628e+00
-1.480500e+02	-2.945171e+00	3.615116e+00
-1.433500e+02	-4.159491e+00	3.573852e+00
-1.386500e+02	-1.554902e+00	3.657409e+00
-1.339500e+02	-1.634705e+00	3.659771e+00
-1.292500e+02	3.552559e+00	3.837108e+00
-1.245500e+02	8.701914e-01	3.743888e+00
-1.198500e+02	-5.350913e-01	3.652243e+00
-1.151500e+02	2.083555e+00	3.739216e+00
-1.104500e+02	2.312409e+00	3.733866e+00
-1.057500e+02	1.600278e+00	3.739991e+00
-1.010500e+02	2.681572e+00	3.783151e+00
-9.635000e+01	5.699848e+00	3.868383e+00
-9.165000e+01	3.444080e+00	3.788121e+00
-8.695000e+01	5.044070e+00	3.840345e+00
-8.225000e+01	4.710249e+00	3.839876e+00
-7.755000e+01	4.561943e+00	3.839419e+00
-7.285000e+01	2.060172e+00	3.762570e+00
-6.815000e+01	2.046138e+00	3.762739e+00
-6.345000e+01	6.538449e+00	3.915203e+00
-5.875000e+01	1.032759e+01	4.044452e+00
-5.405000e+01	2.488983e+01	4.458384e+00
-4.935000e+01	1.592056e+01	4.159830e+00
-4.465000e+01	2.923711e+01	4.571192e+00
-3.995000e+01	4.484314e+01	5.069107e+00
-3.525000e+01	4.432725e+01	5.074688e+00
-3.055000e+01	7.980221e+01	6.136315e+00
-2.585000e+01	9.667982e+01	6.638437e+00
-2.115000e+01	1.128797e+02	7.067694e+00
-1.645000e+01	1.413022e+02	7.874189e+00
-1.175000e+01	1.917272e+02	9.402176e+00
-7.050000e+00	2.327763e+02	1.053397e+01
-2.350000e+00	2.623926e+02	1.136625e+01
2.350000e+00	2.590589e+02	1.092175e+01
7.050000e+00	2.426546e+02	1.086957e+01
1.175000e+01	2.365250e+02	1.068110e+01
1.645000e+01	2.179093e+02	1.018199e+01
2.115000e+01	1.728282e+02	8.959829e+00
2.585000e+01	1.736546e+02	8.771234e+00
3.055000e+01	1.766132e+02	8.908949e+00
3.525000e+01	1.400609e+02	7.855797e+00
3.995000e+01	1.317749e+02	7.681701e+00
4.465000e+01	8.808476e+01	6.390245e+00
4.935000e+01	1.073064e+02	6.898139e+00
5.405000e+01	7.984800e+01	6.042124e+00
5.875000e+01	5.979950e+01	5.463017e+00
6.345000e+01	3.830935e+01	4.866970e+00
6.815000e+01	1.992355e+01	4.324860e+00
7.285000e+01	3.520972e+01	4.784208e+00
7.755000e+01	3.525415e+01	4.749771e+00
8.225000e+01	2.541038e+01	4.497188e+00
8.695000e+01	1.903101e+01	4.266774e+00
9.165000e+01	2.566981e+01	4.447462e+00
9.635000e+01	3.868126e+00	3.826725e+00
1.010500e+02	1.505087e+01	4.147427e+00
1.057500e+02	1.073422e+01	4.034395e+00
1.104500e+02	6.575826e+00	3.924573e+00
