# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.679000e+02	2.822785e-01	2.581975e+00
-2.632000e+02	-1.311832e-01	2.559612e+00
-2.585000e+02	4.945668e-01	2.593185e+00
-2.538000e+02	9.382702e-02	2.571665e+00
-2.491000e+02	3.879697e-01	2.587591e+00
-2.444000e+02	-4.449169e-01	2.543191e+00
-2.397000e+02	-7.561252e-01	2.526179e+00
-2.350000e+02	-3.511982e-01	2.549452e+00
-2.303000e+02	1.901181e+00	2.673029e+00
-2.256000e+02	5.761654e-01	2.599065e+00
-2.209000e+02	1.079466e+00	2.629020e+00
-2.162000e+02	1.092433e+00	2.627230e+00
-2.115000e+02	4.746832e-01	2.593557e+00
-2.068000e+02	-4.317460e-01	2.544048e+00
-2.021000e+02	-1.128831e-01	2.561334e+00
-1.974000e+02	-8.432460e-01	2.521762e+00
-1.927000e+02	-8.521469e-01	2.520873e+00
-1.880000e+02	-8.463174e-01	2.521259e+00
-1.833000e+02	1.977506e-01	2.578204e+00
-1.786000e+02	-4.283192e-01	2.543585e+00
-1.739000e+02	8.189610e-02	2.570697e+00
-1.692000e+02	-1.356704e+00	2.493399e+00
-1.645000e+02	-1.155099e+00	2.503968e+00
-1.598000e+02	-1.159516e+00	2.504406e+00
-1.551000e+02	-7.566015e-01	2.526487e+00
-1.504000e+02	-6.539631e-01	2.531793e+00
-1.457000e+02	1.716576e-01	2.575660e+00
-1.410000e+02	-4.435072e-01	2.543329e+00
-1.363000e+02	-1.244870e-01	2.560604e+00
-1.316000e+02	-9.461356e-01	2.516226e+00
-1.269000e+02	-9.623656e-01	2.514693e+00
-1.222000e+02	-3.353796e-01	2.548018e+00
-1.175000e+02	1.322732e+00	2.637611e+00
-1.128000e+02	-9.586217e-01	2.515622e+00
-1.081000e+02	-1.884152e+00	2.465429e+00
-1.034000e+02	-1.364168e+00	2.493142e+00
-9.870000e+01	-1.674266e+00	2.476826e+00
-9.400000e+01	-1.779803e+00	2.470968e+00
-8.930000e+01	-2.251511e-01	2.550733e+00
-8.460000e+01	-9.548787e-01	2.514880e+00
-7.990000e+01	-4.335278e-01	2.542773e+00
-7.520000e+01	3.734933e-01	2.588420e+00
-7.050000e+01	1.095962e+00	2.627002e+00
-6.580000e+01	-2.305160e-01	2.554043e+00
-6.110000e+01	-4.231338e-01	2.544504e+00
-5.640000e+01	-8.348559e-01	2.522348e+00
-5.170000e+01	-2.227374e-02	2.565311e+00
-4.700000e+01	1.818173e-01	2.576467e+00
-4.230000e+01	-8.459018e-01	2.521177e+00
-3.760000e+01	3.807426e-01	2.587692e+00
-3.290000e+01	1.105906e+00	2.623871e+00
-2.820000e+01	1.720268e-01	2.576429e+00
-2.350000e+01	1.934969e+00	2.670325e+00
-1.880000e+01	1.926787e+00	2.670549e+00
-1.410000e+01	6.890654e+00	2.937018e+00
-9.400000e+00	1.734167e+01	3.491967e+00
-4.700000e+00	2.148492e+01	3.708581e+00
0.000000e+00	2.820591e+01	4.054913e+00
4.700000e+00	2.931518e+01	4.124163e+00
9.400000e+00	2.768795e+01	4.028135e+00
1.410000e+01	2.859982e+01	4.075764e+00
