# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.726000e+02	-3.112830e-01	2.608741e+00
-2.679000e+02	-3.137434e-01	2.609538e+00
-2.632000e+02	-5.142196e-01	2.598077e+00
-2.585000e+02	-3.088891e-01	2.607712e+00
-2.538000e+02	-6.114866e-01	2.592339e+00
-2.491000e+02	-1.113479e+00	2.564098e+00
-2.444000e+02	-1.215595e+00	2.558107e+00
-2.397000e+02	-1.015421e+00	2.569586e+00
-2.350000e+02	-6.134764e-01	2.592972e+00
-2.303000e+02	-7.146100e-01	2.586385e+00
-2.256000e+02	-1.116059e+00	2.564532e+00
-2.209000e+02	-8.198986e-01	2.582717e+00
-2.162000e+02	-9.173668e-01	2.576022e+00
-2.115000e+02	-5.162218e-01	2.599426e+00
-2.068000e+02	9.130670e-02	2.631121e+00
-2.021000e+02	-1.218762e+00	2.559345e+00
-1.974000e+02	-1.120291e+00	2.565032e+00
-1.927000e+02	-1.219349e+00	2.558821e+00
-1.880000e+02	-1.217482e+00	2.558491e+00
-1.833000e+02	-1.420310e+00	2.547894e+00
-1.786000e+02	-1.102564e-01	2.618661e+00
-1.739000e+02	-1.014581e+00	2.569099e+00
-1.692000e+02	1.887528e-01	2.636673e+00
-1.645000e+02	-1.846471e-02	2.627738e+00
-1.598000e+02	1.593128e+00	2.715145e+00
-1.551000e+02	-1.511256e-02	2.626843e+00
-1.504000e+02	-1.135209e-01	2.620215e+00
-1.457000e+02	-6.145261e-01	2.591634e+00
-1.410000e+02	-5.128891e-01	2.597025e+00
-1.363000e+02	-1.220445e+00	2.558983e+00
-1.316000e+02	6.963746e-01	2.663616e+00
-1.269000e+02	1.203488e+00	2.690883e+00
-1.222000e+02	1.706744e+00	2.717891e+00
-1.175000e+02	1.972641e-01	2.635079e+00
-1.128000e+02	1.905053e-01	2.636313e+00
-1.081000e+02	-3.126704e-01	2.607897e+00
-1.034000e+02	-3.139248e-01	2.608400e+00
-9.870000e+01	6.996882e-01	2.661220e+00
-9.400000e+01	2.209462e+00	2.744466e+00
-8.930000e+01	-5.129469e-01	2.597618e+00
-8.460000e+01	9.430636e-02	2.630253e+00
-7.990000e+01	1.100210e+00	2.684775e+00
-7.520000e+01	-3.115255e-01	2.608492e+00
-7.050000e+01	-5.163448e-01	2.598315e+00
-6.580000e+01	-4.104962e-01	2.602850e+00
-6.110000e+01	1.946918e-01	2.635508e+00
-5.640000e+01	-3.101825e-01	2.608376e+00
-5.170000e+01	-3.074838e-01	2.607714e+00
-4.700000e+01	4.960153e-01	2.651928e+00
-4.230000e+01	9.987940e-01	2.679416e+00
-3.760000e+01	2.713052e+00	2.773498e+00
-3.290000e+01	2.405079e+00	2.756932e+00
-2.820000e+01	3.714093e+00	2.827921e+00
-2.350000e+01	4.514761e+00	2.871786e+00
-1.880000e+01	1.015479e+01	3.183334e+00
-1.410000e+01	1.538632e+01	3.467461e+00
-9.400000e+00	2.394208e+01	3.926642e+00
-4.700000e+00	2.656533e+01	4.073690e+00
0.000000e+00	3.281265e+01	4.408991e+00
4.700000e+00	3.390167e+01	4.466768e+00
9.400000e+00	2.899099e+01	4.198628e+00
1.410000e+01	2.857616e+01	4.166508e+00
1.880000e+01	2.705421e+01	4.079668e+00
2.350000e+01	2.374259e+01	3.903462e+00
2.820000e+01	2.273842e+01	3.855588e+00
3.290000e+01	1.820177e+01	3.600552e+00
3.760000e+01	1.800356e+01	3.613065e+00
4.230000e+01	1.418735e+01	3.400813e+00
4.700000e+01	1.066203e+01	3.210614e+00
5.170000e+01	8.450367e+00	3.087708e+00
5.640000e+01	6.636534e+00	2.990016e+00
6.110000e+01	4.424188e+00	2.865730e+00
6.580000e+01	4.731815e+00	2.882953e+00
7.050000e+01	4.721252e+00	2.883084e+00
7.520000e+01	3.317334e+00	2.806668e+00
7.990000e+01	2.906360e+00	2.786109e+00
8.460000e+01	2.911773e+00	2.784825e+00
8.930000e+01	4.522727e+00	2.868964e+00
9.400000e+01	5.328664e+00	2.914450e+00
9.870000e+01	3.112116e+00	2.796274e+00
1.034000e+02	1.602271e+00	2.713545e+00
1.081000e+02	1.500683e+00	2.707921e+00
1.128000e+02	3.417083e+00	2.811755e+00
1.175000e+02	1.603570e+00	2.711595e+00
1.222000e+02	2.403251e+00	2.758554e+00
1.269000e+02	2.302782e+00	2.753414e+00
1.316000e+02	1.303091e+00	2.696833e+00
1.363000e+02	1.502247e+00	2.707255e+00
1.410000e+02	2.965453e-01	2.640935e+00
1.457000e+02	6.964158e-01	2.662509e+00
1.504000e+02	1.294640e+00	2.693790e+00
1.551000e+02	1.402513e+00	2.700719e+00
1.598000e+02	1.607077e+00	2.713787e+00
1.645000e+02	1.802936e+00	2.723955e+00
1.692000e+02	5.948665e-01	2.658111e+00
1.739000e+02	8.960933e-01	2.674898e+00
1.786000e+02	1.392619e+00	2.703704e+00
1.833000e+02	8.935444e-01	2.674253e+00
1.880000e+02	1.502280e+00	2.706488e+00
1.927000e+02	2.914767e-01	2.641363e+00
1.974000e+02	1.500274e+00	2.707234e+00
2.021000e+02	8.924870e-01	2.674490e+00
2.068000e+02	4.012285e+00	2.835713e+00
2.115000e+02	1.873020e-01	2.636166e+00
2.162000e+02	-1.132671e-01	2.619560e+00
2.209000e+02	-2.126050e-01	2.614871e+00
2.256000e+02	6.948244e-01	2.665582e+00
2.303000e+02	5.919871e-01	2.660496e+00
2.350000e+02	1.092957e+00	2.688948e+00
2.397000e+02	-2.158373e-01	2.617423e+00
2.444000e+02	5.846884e-01	2.659754e+00
2.491000e+02	2.105411e+00	2.740259e+00
2.538000e+02	1.496892e+00	2.707867e+00
2.585000e+02	1.698720e+00	2.714169e+00
2.632000e+02	-1.297909e-02	2.626974e+00
2.679000e+02	-9.168194e-01	2.575528e+00
2.726000e+02	-8.148720e-01	2.580986e+00
2.773000e+02	-2.123935e-01	2.613997e+00
2.820000e+02	-3.115547e-01	2.607829e+00
2.867000e+02	2.941984e-01	2.640731e+00
2.914000e+02	-1.096179e-01	2.618720e+00
2.961000e+02	-3.080390e-01	2.607494e+00
3.008000e+02	-6.148212e-01	2.592003e+00
3.055000e+02	8.970801e-02	2.629738e+00
3.102000e+02	1.897363e-01	2.635766e+00
3.149000e+02	-4.115655e-01	2.602550e+00
3.196000e+02	-1.121363e+00	2.566439e+00
3.243000e+02	-4.158417e-01	2.607321e+00
3.290000e+02	-1.486425e-02	2.630979e+00
3.337000e+02	-6.174475e-01	2.595710e+00
3.384000e+02	-9.205359e-01	2.578142e+00
3.431000e+02	-5.168583e-01	2.599653e+00
3.478000e+02	2.879424e-01	2.644245e+00
3.525000e+02	4.915213e-01	2.653432e+00
3.572000e+02	2.004947e+00	2.734669e+00
3.619000e+02	3.929062e-01	2.646157e+00
3.666000e+02	5.936430e-01	2.657820e+00
3.713000e+02	5.947671e-01	2.658189e+00
3.760000e+02	1.597969e+00	2.714539e+00
3.807000e+02	-5.145859e-01	2.598369e+00
3.854000e+02	-2.119418e-01	2.614651e+00
3.901000e+02	-7.172752e-01	2.588430e+00
3.948000e+02	-6.198893e-01	2.594346e+00
3.995000e+02	-1.822239e+00	2.525806e+00
4.042000e+02	-1.020363e+00	2.571216e+00
