# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.679000e+02	8.398799e-01	2.756428e+00
-2.632000e+02	1.335852e-03	2.713155e+00
-2.585000e+02	4.211135e-01	2.735852e+00
-2.538000e+02	-1.033488e-01	2.708671e+00
-2.491000e+02	-7.329834e-01	2.674957e+00
-2.444000e+02	-1.151814e+00	2.653151e+00
-2.397000e+02	-7.317744e-01	2.675894e+00
-2.350000e+02	-4.175557e-01	2.692945e+00
-2.303000e+02	-1.255124e+00	2.649068e+00
-2.256000e+02	-9.433067e-01	2.664394e+00
-2.209000e+02	-8.372631e-01	2.670605e+00
-2.162000e+02	-1.035548e-01	2.709364e+00
-2.115000e+02	2.090653e-01	2.725304e+00
-2.068000e+02	-9.437873e-01	2.664741e+00
-2.021000e+02	-6.285533e-01	2.681748e+00
-1.974000e+02	-9.437335e-01	2.662685e+00
-1.927000e+02	6.284045e-01	2.746086e+00
-1.880000e+02	3.152831e-01	2.731385e+00
-1.833000e+02	-1.008948e-01	2.708869e+00
-1.786000e+02	-1.010625e-01	2.701829e+00
-1.739000e+02	-3.111597e-01	2.696697e+00
-1.692000e+02	6.311557e-01	2.744916e+00
-1.645000e+02	-8.383474e-01	2.669018e+00
-1.598000e+02	-9.446663e-01	2.664339e+00
-1.551000e+02	7.325651e-01	2.749137e+00
-1.504000e+02	-3.127694e-01	2.697448e+00
-1.457000e+02	8.327487e-01	2.757695e+00
-1.410000e+02	1.148592e+00	2.773948e+00
-1.363000e+02	1.043135e+00	2.769059e+00
-1.316000e+02	-1.079765e-01	2.708224e+00
-1.269000e+02	-6.312598e-01	2.680669e+00
-1.222000e+02	3.099075e-01	2.729377e+00
-1.175000e+02	2.827302e+00	2.862343e+00
-1.128000e+02	-4.214464e-01	2.692014e+00
-1.081000e+02	-5.249277e-01	2.686932e+00
-1.034000e+02	-1.046122e+00	2.659435e+00
-9.870000e+01	-3.118247e-01	2.696432e+00
-9.400000e+01	-1.029313e-01	2.707892e+00
-8.930000e+01	1.995217e+00	2.814364e+00
-8.460000e+01	2.108202e-01	2.725741e+00
-7.990000e+01	6.306387e-01	2.747476e+00
-7.520000e+01	-9.416830e-01	2.663813e+00
-7.050000e+01	-6.271817e-01	2.680831e+00
-6.580000e+01	-3.144750e-01	2.697432e+00
-6.110000e+01	3.175427e-01	2.732822e+00
-5.640000e+01	2.142009e-01	2.727628e+00
-5.170000e+01	-3.091562e-01	2.697032e+00
-4.700000e+01	5.501208e-03	2.714123e+00
-4.230000e+01	6.344238e-01	2.745515e+00
-3.760000e+01	1.257780e+00	2.782072e+00
-3.290000e+01	3.771997e+00	2.910970e+00
-2.820000e+01	3.983889e+00	2.924203e+00
-2.350000e+01	3.983191e+00	2.923481e+00
-1.880000e+01	5.133613e+00	2.981656e+00
-1.410000e+01	1.079048e+01	3.275707e+00
-9.400000e+00	2.231919e+01	3.874731e+00
-4.700000e+00	3.761614e+01	4.650185e+00
0.000000e+00	4.630416e+01	5.100107e+00
4.700000e+00	5.467746e+01	5.537899e+00
9.400000e+00	5.079778e+01	5.331469e+00
1.410000e+01	5.426889e+01	5.524846e+00
1.880000e+01	4.996880e+01	5.297985e+00
2.350000e+01	5.122381e+01	5.377444e+00
2.820000e+01	4.463426e+01	5.034144e+00
3.290000e+01	3.708186e+01	4.631542e+00
3.760000e+01	3.038494e+01	4.291715e+00
4.230000e+01	3.530670e+01	4.548834e+00
4.700000e+01	2.084508e+01	3.799502e+00
5.170000e+01	1.854901e+01	3.686607e+00
5.640000e+01	1.498883e+01	3.504189e+00
6.110000e+01	1.120893e+01	3.302475e+00
