# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.679000e+02	-1.487630e-01	2.670655e+00
-2.632000e+02	-1.157399e+00	2.616838e+00
-2.585000e+02	-8.573614e-01	2.633608e+00
-2.538000e+02	6.745560e-01	2.716872e+00
-2.491000e+02	8.711339e-01	2.726940e+00
-2.444000e+02	-4.235860e-02	2.677208e+00
-2.397000e+02	-1.432345e-01	2.671665e+00
-2.350000e+02	4.684968e-01	2.706260e+00
-2.303000e+02	5.963710e-02	2.683126e+00
-2.256000e+02	-7.482970e-01	2.640583e+00
-2.209000e+02	-6.462111e-01	2.645996e+00
-2.162000e+02	-3.408654e-01	2.662417e+00
-2.115000e+02	1.666019e-01	2.690997e+00
-2.068000e+02	1.620284e-01	2.689389e+00
-2.021000e+02	1.617629e-01	2.690007e+00
-1.974000e+02	-6.539653e-01	2.645576e+00
-1.927000e+02	-1.671120e+00	2.589689e+00
-1.880000e+02	-1.158796e+00	2.618929e+00
-1.833000e+02	-6.497144e-01	2.646657e+00
-1.786000e+02	-1.162974e+00	2.617199e+00
-1.739000e+02	6.740226e-01	2.716259e+00
-1.692000e+02	6.137581e-02	2.682807e+00
-1.645000e+02	-7.571246e-01	2.638357e+00
-1.598000e+02	1.625292e-01	2.688655e+00
-1.551000e+02	1.277868e+00	2.748641e+00
-1.504000e+02	3.605467e-01	2.699283e+00
-1.457000e+02	-1.412361e-01	2.672889e+00
-1.410000e+02	-3.474806e-01	2.654865e+00
-1.363000e+02	-1.490289e-01	2.671614e+00
-1.316000e+02	-8.576310e-01	2.633181e+00
-1.269000e+02	-1.366737e+00	2.606568e+00
-1.222000e+02	-1.875166e+00	2.578937e+00
-1.175000e+02	-3.505341e-01	2.659889e+00
-1.128000e+02	-1.161909e+00	2.616742e+00
-1.081000e+02	-5.561785e-01	2.650232e+00
-1.034000e+02	4.627704e-01	2.704932e+00
-9.870000e+01	1.543171e-01	2.688139e+00
-9.400000e+01	2.593498e+00	2.821980e+00
-8.930000e+01	2.604535e+00	2.820444e+00
-8.460000e+01	-4.034983e-02	2.678839e+00
-7.990000e+01	-1.348435e-01	2.672666e+00
-7.520000e+01	4.696300e-01	2.704566e+00
-7.050000e+01	8.692134e-01	2.726627e+00
-6.580000e+01	1.583116e+00	2.765767e+00
-6.110000e+01	5.825150e-01	2.712690e+00
-5.640000e+01	2.717653e-01	2.694044e+00
-5.170000e+01	-2.441455e-01	2.663046e+00
-4.700000e+01	-2.434683e-01	2.666572e+00
-4.230000e+01	8.758682e-01	2.727439e+00
-3.760000e+01	2.197610e+00	2.799560e+00
-3.290000e+01	2.501076e+00	2.816578e+00
-2.820000e+01	4.940607e+00	2.951340e+00
-2.350000e+01	4.442743e+00	2.925471e+00
-1.880000e+01	6.055350e+00	3.010053e+00
-1.410000e+01	1.390809e+01	3.433599e+00
-9.400000e+00	2.272224e+01	3.903955e+00
-4.700000e+00	3.013682e+01	4.270854e+00
0.000000e+00	3.636939e+01	4.613691e+00
4.700000e+00	3.882308e+01	4.747881e+00
9.400000e+00	3.386155e+01	4.485919e+00
1.410000e+01	3.188514e+01	4.389681e+00
1.880000e+01	3.191623e+01	4.390228e+00
2.350000e+01	3.443600e+01	4.520847e+00
2.820000e+01	3.333546e+01	4.459379e+00
3.290000e+01	2.893611e+01	4.237335e+00
3.760000e+01	2.507530e+01	4.025600e+00
4.230000e+01	2.424651e+01	3.984261e+00
4.700000e+01	1.642998e+01	3.565035e+00
5.170000e+01	1.531900e+01	3.502270e+00
5.640000e+01	1.186230e+01	3.319986e+00
6.110000e+01	1.042622e+01	3.240959e+00
6.580000e+01	6.880491e+00	3.050379e+00
7.050000e+01	6.057093e+00	3.002522e+00
7.520000e+01	5.040644e+00	2.955694e+00
7.990000e+01	6.056470e+00	3.010058e+00
8.460000e+01	3.212357e+00	2.856536e+00
8.930000e+01	4.738841e+00	2.940468e+00
9.400000e+01	2.514081e+00	2.818891e+00
9.870000e+01	3.628361e+00	2.878515e+00
1.034000e+02	4.341847e+00	2.917699e+00
1.081000e+02	3.120884e+00	2.851046e+00
1.128000e+02	4.842203e+00	2.943237e+00
1.175000e+02	3.409835e+00	2.867064e+00
1.222000e+02	3.207740e+00	2.851631e+00
1.269000e+02	2.086980e+00	2.793302e+00
1.316000e+02	1.885400e+00	2.780452e+00
1.363000e+02	3.209924e+00	2.857291e+00
1.410000e+02	1.583853e+00	2.771916e+00
1.457000e+02	2.292953e+00	2.806354e+00
1.504000e+02	2.504143e+00	2.821776e+00
1.551000e+02	2.095168e+00	2.797623e+00
1.598000e+02	4.636010e-01	2.705372e+00
1.645000e+02	1.381626e+00	2.758500e+00
1.692000e+02	1.992596e+00	2.789254e+00
1.739000e+02	2.689063e-01	2.695083e+00
1.786000e+02	1.074986e+00	2.740163e+00
1.833000e+02	1.378201e+00	2.756258e+00
1.880000e+02	2.545445e-01	2.693738e+00
1.927000e+02	-1.454587e-01	2.670909e+00
1.974000e+02	-7.532215e-01	2.639255e+00
2.021000e+02	8.745207e-01	2.728743e+00
2.068000e+02	7.668803e-01	2.721525e+00
2.115000e+02	2.503685e+00	2.816347e+00
2.162000e+02	1.283933e+00	2.752163e+00
2.209000e+02	5.656683e-01	2.710614e+00
2.256000e+02	7.718187e-01	2.723055e+00
2.303000e+02	-4.514006e-01	2.655877e+00
2.350000e+02	-4.461335e-01	2.656241e+00
2.397000e+02	-3.397879e-01	2.657956e+00
2.444000e+02	-5.464862e-01	2.650199e+00
2.491000e+02	-4.490889e-01	2.655411e+00
2.538000e+02	6.937353e-02	2.678648e+00
2.585000e+02	-7.513462e-01	2.640609e+00
2.632000e+02	5.664821e-01	2.711897e+00
2.679000e+02	-1.469431e-01	2.672990e+00
2.726000e+02	-1.061975e+00	2.623053e+00
2.773000e+02	-4.497276e-01	2.656472e+00
2.820000e+02	-8.514963e-01	2.633688e+00
2.867000e+02	-7.528323e-01	2.639640e+00
2.914000e+02	-1.439111e-01	2.672232e+00
2.961000e+02	-1.439301e-01	2.672955e+00
3.008000e+02	-5.486326e-01	2.649613e+00
3.055000e+02	-9.588378e-01	2.627899e+00
3.102000e+02	-1.267796e+00	2.611266e+00
3.149000e+02	-1.166720e+00	2.616436e+00
3.196000e+02	-7.561980e-01	2.638781e+00
3.243000e+02	-1.356789e+00	2.607017e+00
3.290000e+02	-1.260927e+00	2.611172e+00
3.337000e+02	-1.360659e+00	2.606956e+00
3.384000e+02	-9.526627e-01	2.628081e+00
3.431000e+02	-7.585571e-01	2.638829e+00
3.478000e+02	-1.063456e+00	2.621566e+00
3.525000e+02	-4.477919e-01	2.655544e+00
3.572000e+02	1.553938e-01	2.690234e+00
3.619000e+02	-6.550686e-01	2.646811e+00
3.666000e+02	-1.466964e+00	2.599670e+00
3.713000e+02	-5.483661e-01	2.649718e+00
3.760000e+02	-6.524295e-01	2.642077e+00
3.807000e+02	3.662960e-01	2.699822e+00
3.854000e+02	-1.160948e+00	2.616110e+00
3.901000e+02	5.903561e-02	2.670018e+00
3.948000e+02	-1.673673e+00	2.588982e+00
3.995000e+02	-8.580805e-01	2.633510e+00
4.042000e+02	-1.256250e+00	2.612548e+00
4.089000e+02	-5.424834e-01	2.650800e+00
