# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.726000e+02	6.423648e-01	2.616683e+00
-2.679000e+02	-8.233939e-01	2.540039e+00
-2.632000e+02	-1.034531e+00	2.528516e+00
-2.585000e+02	-6.158153e-01	2.550738e+00
-2.538000e+02	4.296202e-01	2.606868e+00
-2.491000e+02	-7.194571e-01	2.545519e+00
-2.444000e+02	1.010604e-02	2.584336e+00
-2.397000e+02	-4.086317e-01	2.562990e+00
-2.350000e+02	1.220868e-02	2.585274e+00
-2.303000e+02	1.244654e-02	2.585583e+00
-2.256000e+02	-9.198328e-02	2.579894e+00
-2.209000e+02	1.475392e+00	2.663553e+00
-2.162000e+02	5.329503e-01	2.613294e+00
-2.115000e+02	-4.086098e-01	2.562682e+00
-2.068000e+02	4.272840e-01	2.606568e+00
-2.021000e+02	-5.144347e-01	2.557947e+00
-1.974000e+02	-8.246450e-01	2.541012e+00
-1.927000e+02	-1.971045e-01	2.574182e+00
-1.880000e+02	-1.982381e-01	2.573877e+00
-1.833000e+02	-7.200336e-01	2.546004e+00
-1.786000e+02	-1.556042e+00	2.501326e+00
-1.739000e+02	-1.034886e+00	2.529520e+00
-1.692000e+02	6.390358e-01	2.617590e+00
-1.645000e+02	1.264738e+00	2.650241e+00
-1.598000e+02	-3.027705e-01	2.567908e+00
-1.551000e+02	-6.176714e-01	2.549914e+00
-1.504000e+02	-9.288978e-01	2.534943e+00
-1.457000e+02	1.085168e-02	2.583962e+00
-1.410000e+02	-9.253646e-02	2.578270e+00
-1.363000e+02	-8.263311e-01	2.539412e+00
-1.316000e+02	-5.119094e-01	2.555886e+00
-1.269000e+02	-1.036028e+00	2.529805e+00
-1.222000e+02	-1.035105e+00	2.528930e+00
-1.175000e+02	-1.558112e+00	2.501268e+00
-1.128000e+02	-1.140445e+00	2.522900e+00
-1.081000e+02	-3.013795e-01	2.565197e+00
-1.034000e+02	-5.108154e-01	2.553750e+00
-9.870000e+01	1.152990e-01	2.590031e+00
-9.400000e+01	1.578953e+00	2.656280e+00
-8.930000e+01	2.193632e-01	2.595283e+00
-8.460000e+01	1.369291e+00	2.652830e+00
-7.990000e+01	5.329988e-01	2.612388e+00
-7.520000e+01	3.254499e-01	2.598247e+00
-7.050000e+01	8.488335e-01	2.622082e+00
-6.580000e+01	3.254400e-01	2.590840e+00
-6.110000e+01	-9.413736e-02	2.574441e+00
-5.640000e+01	3.256959e-01	2.600877e+00
-5.170000e+01	1.170008e-01	2.589720e+00
-4.700000e+01	6.398428e-01	2.617843e+00
-4.230000e+01	2.217413e-01	2.595573e+00
-3.760000e+01	2.103525e+00	2.695898e+00
-3.290000e+01	3.463176e+00	2.764775e+00
-2.820000e+01	5.137170e+00	2.858633e+00
-2.350000e+01	6.602900e+00	2.931257e+00
-1.880000e+01	1.204558e+01	3.223877e+00
-1.410000e+01	2.135767e+01	3.689814e+00
-9.400000e+00	3.369549e+01	4.347383e+00
-4.700000e+00	3.986971e+01	4.655019e+00
0.000000e+00	4.688213e+01	4.997302e+00
4.700000e+00	4.509567e+01	4.928308e+00
9.400000e+00	4.489216e+01	4.910454e+00
1.410000e+01	3.778177e+01	4.564231e+00
1.880000e+01	3.621162e+01	4.453008e+00
2.350000e+01	3.568344e+01	4.434553e+00
2.820000e+01	3.097842e+01	4.194435e+00
3.290000e+01	2.375783e+01	3.823555e+00
3.760000e+01	2.145212e+01	3.717368e+00
4.230000e+01	1.612100e+01	3.422567e+00
4.700000e+01	1.592143e+01	3.419688e+00
5.170000e+01	1.110425e+01	3.169535e+00
5.640000e+01	1.130523e+01	3.178185e+00
6.110000e+01	8.383281e+00	3.027575e+00
6.580000e+01	7.444484e+00	2.976574e+00
7.050000e+01	8.385217e+00	3.026313e+00
7.520000e+01	6.392148e+00	2.920955e+00
7.990000e+01	5.873008e+00	2.894592e+00
8.460000e+01	5.871620e+00	2.885331e+00
8.930000e+01	4.091094e+00	2.794981e+00
9.400000e+01	3.151932e+00	2.749070e+00
9.870000e+01	3.466532e+00	2.767405e+00
1.034000e+02	2.522824e+00	2.717941e+00
1.081000e+02	2.837817e+00	2.735240e+00
1.128000e+02	2.631110e+00	2.726806e+00
1.175000e+02	2.836084e+00	2.730152e+00
1.222000e+02	2.106387e+00	2.691912e+00
1.269000e+02	8.511522e-01	2.626459e+00
1.316000e+02	2.735761e+00	2.730557e+00
1.363000e+02	1.582931e+00	2.668756e+00
1.410000e+02	1.895732e+00	2.679125e+00
1.457000e+02	1.687183e+00	2.673835e+00
1.504000e+02	1.794108e+00	2.679134e+00
1.551000e+02	1.375268e+00	2.658751e+00
1.598000e+02	1.058070e+00	2.637422e+00
1.645000e+02	2.938227e+00	2.740983e+00
1.692000e+02	4.093239e+00	2.801775e+00
1.739000e+02	2.207707e+00	2.701283e+00
1.786000e+02	2.210212e+00	2.700771e+00
1.833000e+02	1.472466e+00	2.661523e+00
1.880000e+02	1.785435e+00	2.678168e+00
1.927000e+02	9.500261e-01	2.634630e+00
1.974000e+02	4.292554e-01	2.607657e+00
2.021000e+02	6.349877e-01	2.619033e+00
2.068000e+02	4.085263e+00	2.799117e+00
2.115000e+02	1.260271e+00	2.653376e+00
2.162000e+02	6.990158e-03	2.584645e+00
2.209000e+02	-9.559505e-02	2.578956e+00
2.256000e+02	1.369681e+00	2.656818e+00
2.303000e+02	5.358214e-01	2.612595e+00
2.350000e+02	1.685468e+00	2.673605e+00
2.397000e+02	1.054045e+00	2.639709e+00
2.444000e+02	9.515837e-01	2.632498e+00
2.491000e+02	3.357893e+00	2.756334e+00
2.538000e+02	9.319833e-03	2.581601e+00
2.585000e+02	5.324549e-01	2.611131e+00
2.632000e+02	-7.221474e-01	2.544361e+00
2.679000e+02	-9.363258e-02	2.577420e+00
2.726000e+02	-4.062257e-01	2.561907e+00
2.773000e+02	-8.250750e-01	2.541167e+00
2.820000e+02	-5.119308e-01	2.556728e+00
2.867000e+02	-1.033355e+00	2.529309e+00
2.914000e+02	-8.225877e-01	2.540925e+00
2.961000e+02	5.427584e-01	2.613238e+00
3.008000e+02	1.773357e-02	2.585151e+00
3.055000e+02	-1.449676e+00	2.507276e+00
3.102000e+02	-9.281203e-01	2.535140e+00
3.149000e+02	-7.192672e-01	2.542833e+00
3.196000e+02	-1.452503e+00	2.507473e+00
3.243000e+02	-1.243937e+00	2.518088e+00
3.290000e+02	-1.766211e+00	2.490314e+00
3.337000e+02	-1.556937e+00	2.501195e+00
3.384000e+02	-1.243500e+00	2.517825e+00
3.431000e+02	-8.263211e-01	2.539981e+00
3.478000e+02	-1.662140e+00	2.495399e+00
3.525000e+02	-1.556528e+00	2.501210e+00
3.572000e+02	-4.066886e-01	2.562236e+00
3.619000e+02	-1.556721e+00	2.501943e+00
3.666000e+02	-7.195071e-01	2.546019e+00
3.713000e+02	-9.115755e-02	2.580033e+00
3.760000e+02	1.182299e-01	2.591468e+00
3.807000e+02	-1.957374e-01	2.573190e+00
3.854000e+02	1.164007e+00	2.647538e+00
3.901000e+02	8.493470e-01	2.629000e+00
3.948000e+02	5.358286e-01	2.611552e+00
3.995000e+02	1.187606e-01	2.590360e+00
4.042000e+02	4.325622e-01	2.606239e+00
