# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.679000e+02	7.923139e-01	2.670615e+00
-2.632000e+02	2.382143e+00	2.630924e+00
-2.585000e+02	1.280363e+00	2.574772e+00
-2.538000e+02	8.764518e-01	2.503896e+00
-2.491000e+02	-1.186682e-01	2.508695e+00
-2.444000e+02	-4.168053e-01	2.438810e+00
-2.397000e+02	-8.214217e-01	2.489348e+00
-2.350000e+02	-4.048238e-01	2.475337e+00
-2.303000e+02	-9.515985e-01	2.501877e+00
-2.256000e+02	-1.191007e+00	2.466737e+00
-2.209000e+02	-7.754324e-01	2.505350e+00
-2.162000e+02	6.228652e-02	2.511278e+00
-2.115000e+02	1.410974e-01	2.507783e+00
-2.068000e+02	-5.911990e-01	2.479266e+00
-2.021000e+02	-9.086208e-01	2.521582e+00
-1.974000e+02	-2.202282e-01	2.472371e+00
-1.927000e+02	-2.854220e-01	2.480277e+00
-1.880000e+02	-9.318578e-01	2.458974e+00
-1.833000e+02	-1.259337e+00	2.490587e+00
-1.786000e+02	-4.076152e-01	2.496674e+00
-1.739000e+02	-3.202530e-01	2.492990e+00
-1.692000e+02	-1.431792e+00	2.461087e+00
-1.645000e+02	-9.069754e-01	2.520611e+00
-1.598000e+02	1.734801e-01	2.510749e+00
-1.551000e+02	3.846880e-02	2.511885e+00
-1.504000e+02	-7.644212e-01	2.477080e+00
-1.457000e+02	-7.619292e-01	2.504482e+00
-1.410000e+02	-2.212670e-01	2.483178e+00
-1.363000e+02	-6.581978e-01	2.477111e+00
-1.316000e+02	-2.749748e-01	2.489658e+00
-1.269000e+02	-7.969426e-01	2.494649e+00
-1.222000e+02	-3.713952e-01	2.494875e+00
-1.175000e+02	-3.862032e-01	2.511411e+00
-1.128000e+02	-5.575986e-01	2.483340e+00
-1.081000e+02	9.053494e-01	2.552263e+00
-1.034000e+02	5.517311e-01	2.568720e+00
-9.870000e+01	3.658591e-01	2.581281e+00
-9.400000e+01	3.373703e-01	2.508571e+00
-8.930000e+01	1.704113e-01	2.581242e+00
-8.460000e+01	4.672700e-01	2.533052e+00
-7.990000e+01	4.470082e-01	2.565622e+00
-7.520000e+01	-1.997130e-01	2.439060e+00
-7.050000e+01	-5.254190e-01	2.513598e+00
-6.580000e+01	-3.950717e-01	2.512487e+00
-6.110000e+01	-7.851975e-02	2.518407e+00
-5.640000e+01	-3.725659e-01	2.543809e+00
-5.170000e+01	1.091886e+00	2.545827e+00
-4.700000e+01	1.387969e-01	2.544793e+00
-4.230000e+01	3.684287e-01	2.533196e+00
-3.760000e+01	1.338478e+00	2.585696e+00
-3.290000e+01	1.213235e+00	2.646529e+00
-2.820000e+01	3.396247e+00	2.850424e+00
-2.350000e+01	7.041050e+00	2.924687e+00
-1.880000e+01	8.971850e+00	3.244539e+00
-1.410000e+01	1.870935e+01	3.819429e+00
-9.400000e+00	2.981598e+01	4.362844e+00
-4.700000e+00	3.940499e+01	4.758261e+00
0.000000e+00	4.858000e+01	4.922330e+00
4.700000e+00	4.574815e+01	4.968088e+00
9.400000e+00	4.729461e+01	4.801720e+00
1.410000e+01	3.985723e+01	4.645892e+00
1.880000e+01	3.551287e+01	4.443761e+00
2.350000e+01	3.808761e+01	4.399283e+00
2.820000e+01	3.282856e+01	4.284781e+00
3.290000e+01	2.908818e+01	3.966251e+00
3.760000e+01	2.406546e+01	3.684313e+00
4.230000e+01	2.096110e+01	3.625472e+00
4.700000e+01	1.658905e+01	3.211012e+00
5.170000e+01	1.252732e+01	3.290932e+00
5.640000e+01	1.005184e+01	2.926064e+00
6.110000e+01	8.419714e+00	3.007664e+00
6.580000e+01	7.406391e+00	2.900879e+00
7.050000e+01	6.881245e+00	2.840940e+00
7.520000e+01	4.427140e+00	2.684324e+00
7.990000e+01	3.696260e+00	2.751998e+00
8.460000e+01	3.160716e+00	2.657215e+00
8.930000e+01	3.882852e+00	2.722141e+00
9.400000e+01	2.579859e+00	2.668058e+00
9.870000e+01	2.784090e+00	2.659018e+00
1.034000e+02	3.041637e+00	2.710201e+00
1.081000e+02	2.780829e+00	2.709202e+00
1.128000e+02	2.758871e+00	2.634086e+00
1.175000e+02	1.418365e+00	2.610185e+00
1.222000e+02	2.235219e+00	2.603512e+00
1.269000e+02	1.188247e+00	2.547242e+00
1.316000e+02	1.289571e-01	2.534607e+00
1.363000e+02	9.255492e-01	2.561547e+00
1.410000e+02	9.025728e-01	2.581842e+00
1.457000e+02	5.220996e-01	2.573479e+00
1.504000e+02	9.549638e-01	2.621801e+00
1.551000e+02	1.838163e+00	2.548285e+00
1.598000e+02	6.340972e-01	2.557782e+00
1.645000e+02	6.309341e-01	2.579376e+00
1.692000e+02	5.763974e-01	2.512751e+00
1.739000e+02	2.052790e-01	2.546780e+00
1.786000e+02	2.262436e-01	2.556569e+00
1.833000e+02	5.659851e-01	2.565320e+00
1.880000e+02	6.032923e-01	2.537896e+00
1.927000e+02	1.067188e+00	2.595561e+00
1.974000e+02	8.029659e-01	2.560910e+00
2.021000e+02	8.047019e-01	2.532975e+00
2.068000e+02	-1.277625e-01	2.472333e+00
2.115000e+02	1.168037e+00	2.690897e+00
2.162000e+02	7.882017e-01	2.481061e+00
2.209000e+02	-1.431546e-01	2.472455e+00
2.256000e+02	-1.003730e+00	2.521096e+00
2.303000e+02	1.824944e-01	2.554218e+00
2.350000e+02	3.357271e-01	2.471745e+00
2.397000e+02	1.157681e-01	2.538818e+00
2.444000e+02	-8.389212e-01	2.454164e+00
2.491000e+02	-3.840948e-01	2.537807e+00
2.538000e+02	7.705165e-01	2.646843e+00
