# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.679000e+02	-8.708248e-01	2.856167e+00
-2.632000e+02	-1.255397e+00	2.834270e+00
-2.585000e+02	-1.149697e+00	2.839001e+00
-2.538000e+02	-1.334365e+00	2.827363e+00
-2.491000e+02	-2.165479e-01	2.893243e+00
-2.444000e+02	-9.659304e-01	2.849229e+00
-2.397000e+02	-1.629950e+00	2.812260e+00
-2.350000e+02	-1.442595e+00	2.822744e+00
-2.303000e+02	-1.151069e+00	2.838685e+00
-2.256000e+02	-2.189534e+00	2.778481e+00
-2.209000e+02	-1.725949e+00	2.806492e+00
-2.162000e+02	-1.432811e+00	2.821506e+00
-2.115000e+02	-3.171028e-01	2.890178e+00
-2.068000e+02	-8.727223e-01	2.855447e+00
-2.021000e+02	-1.342516e+00	2.826243e+00
-1.974000e+02	-1.247425e+00	2.832261e+00
-1.927000e+02	-7.692452e-01	2.860993e+00
-1.880000e+02	-8.739820e-01	2.855364e+00
-1.833000e+02	-1.255607e+00	2.833957e+00
-1.786000e+02	-1.722052e+00	2.806168e+00
-1.739000e+02	-1.816797e+00	2.800148e+00
-1.692000e+02	-1.717447e+00	2.806699e+00
-1.645000e+02	-1.707901e+00	2.806152e+00
-1.598000e+02	-1.991697e+00	2.789677e+00
-1.551000e+02	-1.901288e+00	2.795297e+00
-1.504000e+02	-7.772236e-01	2.860964e+00
-1.457000e+02	-1.526001e+00	2.817000e+00
-1.410000e+02	-9.750978e-01	2.850319e+00
-1.363000e+02	-1.539804e+00	2.817636e+00
-1.316000e+02	-7.756607e-01	2.857494e+00
-1.269000e+02	-7.793656e-01	2.857466e+00
-1.222000e+02	-1.439608e+00	2.822979e+00
-1.175000e+02	-3.943230e-01	2.880116e+00
-1.128000e+02	-8.722828e-01	2.856064e+00
-1.081000e+02	-1.445551e+00	2.823865e+00
-1.034000e+02	-3.123189e-01	2.889526e+00
-9.870000e+01	-3.045069e-01	2.888375e+00
-9.400000e+01	-1.537526e+00	2.818542e+00
-8.930000e+01	5.346535e-01	2.934829e+00
-8.460000e+01	-8.701958e-01	2.855164e+00
-7.990000e+01	-4.023001e-01	2.882493e+00
-7.520000e+01	-1.349428e+00	2.828274e+00
-7.050000e+01	-6.950365e-01	2.865273e+00
-6.580000e+01	-9.755717e-01	2.850278e+00
-6.110000e+01	9.157059e-01	2.960061e+00
-5.640000e+01	-7.822842e-01	2.861644e+00
-5.170000e+01	5.691835e-02	2.911767e+00
-4.700000e+01	-2.194251e-01	2.894388e+00
-4.230000e+01	6.216100e-02	2.910230e+00
-3.760000e+01	6.138365e-02	2.910051e+00
-3.290000e+01	1.093894e+00	2.967915e+00
-2.820000e+01	3.922684e+00	3.135624e+00
-2.350000e+01	5.909703e+00	3.249232e+00
-1.880000e+01	1.110472e+01	3.551605e+00
-1.410000e+01	2.097641e+01	4.123686e+00
-9.400000e+00	2.886943e+01	4.561696e+00
-4.700000e+00	3.702836e+01	5.011126e+00
0.000000e+00	4.444546e+01	5.431656e+00
4.700000e+00	4.421210e+01	5.442297e+00
9.400000e+00	4.371608e+01	5.400912e+00
1.410000e+01	3.901032e+01	5.139544e+00
1.880000e+01	3.848344e+01	5.104238e+00
2.350000e+01	3.629678e+01	4.980142e+00
2.820000e+01	3.100471e+01	4.698725e+00
3.290000e+01	2.788085e+01	4.527730e+00
3.760000e+01	2.214122e+01	4.192721e+00
4.230000e+01	1.779795e+01	3.949136e+00
4.700000e+01	1.744813e+01	3.923256e+00
5.170000e+01	1.312070e+01	3.665910e+00
5.640000e+01	8.695867e+00	3.413367e+00
6.110000e+01	5.691147e+00	3.239872e+00
6.580000e+01	3.922704e+00	3.135183e+00
7.050000e+01	2.782130e+00	3.067097e+00
7.520000e+01	2.490915e+00	3.056036e+00
7.990000e+01	3.821358e+00	3.132450e+00
8.460000e+01	4.337928e-01	2.933129e+00
8.930000e+01	2.237363e+00	3.035431e+00
9.400000e+01	1.756933e+00	3.010996e+00
9.870000e+01	1.109178e+00	2.971407e+00
1.034000e+02	6.287755e-01	2.943942e+00
1.081000e+02	8.144808e-01	2.955857e+00
1.128000e+02	1.027411e+00	2.966769e+00
1.175000e+02	1.109152e+00	2.970748e+00
1.222000e+02	2.043641e+00	3.026400e+00
1.269000e+02	4.335773e-01	2.930200e+00
1.316000e+02	-2.116741e-01	2.894525e+00
1.363000e+02	2.516270e-01	2.919349e+00
1.410000e+02	-4.138197e-01	2.884431e+00
1.457000e+02	1.278795e+00	2.985205e+00
1.504000e+02	1.088616e+00	2.972849e+00
1.551000e+02	7.044125e-01	2.952221e+00
1.598000e+02	-3.146894e-02	2.905225e+00
1.645000e+02	8.129428e-01	2.953916e+00
1.692000e+02	3.417742e-01	2.927117e+00
1.739000e+02	1.572645e-01	2.915981e+00
1.786000e+02	-1.829949e-02	2.901859e+00
1.833000e+02	-2.040944e-01	2.893755e+00
1.880000e+02	-3.943996e-01	2.881699e+00
1.927000e+02	-3.094508e-01	2.887566e+00
1.974000e+02	4.462346e-01	2.932348e+00
2.021000e+02	-1.533279e+00	2.816673e+00
2.068000e+02	-1.156959e+00	2.839660e+00
2.115000e+02	4.469760e-01	2.932344e+00
2.162000e+02	-1.166348e+00	2.839998e+00
2.209000e+02	-1.066373e+00	2.844711e+00
2.256000e+02	-1.064714e+00	2.845163e+00
2.303000e+02	1.511015e-01	2.917238e+00
2.350000e+02	2.438294e-01	2.922446e+00
2.397000e+02	-7.879139e-01	2.862225e+00
2.444000e+02	-1.067914e+00	2.845535e+00
2.491000e+02	-6.893515e-01	2.867197e+00
2.538000e+02	-4.244039e-01	2.882173e+00
2.585000e+02	-8.854689e-01	2.856349e+00
2.632000e+02	7.330538e-02	2.903878e+00
2.679000e+02	6.914156e-02	2.909934e+00
2.726000e+02	-9.634598e-01	2.849479e+00
2.773000e+02	-5.924576e-01	2.871701e+00
2.820000e+02	-1.350272e+00	2.828014e+00
2.867000e+02	-1.246392e+00	2.832916e+00
2.914000e+02	-1.151930e+00	2.838717e+00
2.961000e+02	-1.345349e+00	2.827652e+00
3.008000e+02	-8.763725e-01	2.854903e+00
3.055000e+02	-5.043082e-01	2.878228e+00
3.102000e+02	-1.447540e+00	2.822644e+00
3.149000e+02	-1.451257e+00	2.823538e+00
3.196000e+02	-1.160240e+00	2.838945e+00
3.243000e+02	-1.154873e+00	2.838116e+00
3.290000e+02	-1.447649e+00	2.822158e+00
3.337000e+02	-1.436887e+00	2.821978e+00
3.384000e+02	-1.820151e+00	2.800388e+00
3.431000e+02	-1.062861e+00	2.844026e+00
3.478000e+02	-4.080194e-01	2.883080e+00
3.525000e+02	-8.805741e-01	2.855976e+00
3.572000e+02	-6.911298e-01	2.865688e+00
