# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.632000e+02	2.448123e-01	2.594724e+00
-2.585000e+02	-7.018850e-01	2.539115e+00
-2.538000e+02	-1.189221e-01	2.572298e+00
-2.491000e+02	-6.937692e-01	2.540198e+00
-2.444000e+02	-6.145312e-01	2.545535e+00
-2.397000e+02	-4.447058e-02	2.578372e+00
-2.350000e+02	-9.826885e-01	2.523668e+00
-2.303000e+02	-9.877406e-01	2.523032e+00
-2.256000e+02	-1.181336e+00	2.512207e+00
-2.209000e+02	-1.076599e+00	2.518122e+00
-2.162000e+02	-6.914702e-01	2.540067e+00
-2.115000e+02	-1.200301e-02	2.579937e+00
-2.068000e+02	1.573265e-01	2.589834e+00
-2.021000e+02	-1.176728e+00	2.512364e+00
-1.974000e+02	-1.164047e-01	2.570292e+00
-1.927000e+02	-1.178036e+00	2.508780e+00
-1.880000e+02	-8.195764e-03	2.580165e+00
-1.833000e+02	1.245728e+00	2.652039e+00
-1.786000e+02	9.408175e-01	2.630999e+00
-1.739000e+02	-3.156287e-01	2.561505e+00
-1.692000e+02	5.541114e-01	2.608756e+00
-1.645000e+02	-3.176993e-01	2.561741e+00
-1.598000e+02	5.366770e-02	2.584278e+00
-1.551000e+02	1.459225e-01	2.589987e+00
-1.504000e+02	-2.334721e-01	2.567687e+00
-1.457000e+02	-9.021728e-01	2.528624e+00
-1.410000e+02	-3.397432e-02	2.579073e+00
-1.363000e+02	-5.902441e-01	2.546562e+00
-1.316000e+02	7.938658e-02	2.584382e+00
-1.269000e+02	-5.062617e-01	2.550780e+00
-1.222000e+02	7.136175e-02	2.584513e+00
-1.175000e+02	1.580596e-01	2.589713e+00
-1.128000e+02	2.285338e+00	2.702275e+00
-1.081000e+02	-6.047566e-01	2.545134e+00
-1.034000e+02	5.547263e-02	2.583719e+00
-9.870000e+01	1.125619e+00	2.644840e+00
-9.400000e+01	1.801335e-01	2.591734e+00
-8.930000e+01	1.809078e+00	2.684860e+00
-8.460000e+01	3.451581e+00	2.772116e+00
-7.990000e+01	3.615677e-01	2.601661e+00
-7.520000e+01	1.032181e+00	2.636859e+00
-7.050000e+01	8.413443e-01	2.628870e+00
-6.580000e+01	-5.306362e-01	2.550938e+00
-6.110000e+01	-9.000932e-01	2.528241e+00
-5.640000e+01	-6.923068e-01	2.540079e+00
