# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.632000e+02	4.637696e-01	2.796255e+00
-2.585000e+02	-6.699885e-01	2.729243e+00
-2.538000e+02	-2.990338e-01	2.751498e+00
-2.491000e+02	1.403446e+00	2.848047e+00
-2.444000e+02	4.612087e-01	2.796927e+00
-2.397000e+02	1.805524e-01	2.780979e+00
-2.350000e+02	1.052581e+00	2.832440e+00
-2.303000e+02	6.792265e-01	2.811304e+00
-2.256000e+02	7.630094e-01	2.814927e+00
-2.209000e+02	-1.184960e-02	2.767493e+00
-2.162000e+02	-3.806175e-01	2.747182e+00
-2.115000e+02	-5.657773e-01	2.737234e+00
-2.068000e+02	-2.794915e-01	2.754137e+00
-2.021000e+02	-1.658283e-01	2.763171e+00
-1.974000e+02	-8.565158e-01	2.720172e+00
-1.927000e+02	-1.135132e+00	2.703894e+00
-1.880000e+02	-6.455934e-01	2.734366e+00
-1.833000e+02	-1.046140e+00	2.708942e+00
-1.786000e+02	3.536540e-01	2.790658e+00
-1.739000e+02	-3.138595e-01	2.751269e+00
-1.692000e+02	-2.149611e-01	2.756373e+00
-1.645000e+02	-4.984598e-01	2.739338e+00
-1.598000e+02	-4.824199e-01	2.740061e+00
-1.551000e+02	-2.080003e-02	2.766738e+00
-1.504000e+02	3.691909e-01	2.790811e+00
-1.457000e+02	-3.912944e-01	2.746255e+00
-1.410000e+02	-5.896305e-01	2.735192e+00
-1.363000e+02	-4.854537e-01	2.741493e+00
-1.316000e+02	-4.842879e-01	2.740622e+00
-1.269000e+02	-5.858870e-01	2.734956e+00
-1.222000e+02	-1.150864e-01	2.762704e+00
-1.175000e+02	-3.945897e-01	2.746710e+00
-1.128000e+02	1.317746e+00	2.845578e+00
-1.081000e+02	6.493299e-01	2.806921e+00
-1.034000e+02	-2.116591e-01	2.757673e+00
-9.870000e+01	-1.449247e+00	2.685194e+00
-9.400000e+01	-4.063132e-01	2.746348e+00
-8.930000e+01	9.261570e-01	2.823780e+00
-8.460000e+01	1.889895e+00	2.879428e+00
-7.990000e+01	1.435306e+00	2.854452e+00
-7.520000e+01	8.529776e-01	2.818562e+00
-7.050000e+01	-4.844852e-01	2.741227e+00
-6.580000e+01	-1.062441e+00	2.708081e+00
-6.110000e+01	-4.784440e-01	2.742055e+00
-5.640000e+01	3.705639e-01	2.790945e+00
-5.170000e+01	-1.982824e-01	2.756670e+00
-4.700000e+01	-3.941265e-01	2.745671e+00
-4.230000e+01	-9.710486e-01	2.712434e+00
-3.760000e+01	6.479227e-01	2.806308e+00
-3.290000e+01	8.678001e-01	2.821377e+00
-2.820000e+01	1.044828e+00	2.826263e+00
-2.350000e+01	2.934950e+00	2.935700e+00
-1.880000e+01	5.821164e+00	3.107079e+00
-1.410000e+01	8.689273e+00	3.275293e+00
-9.400000e+00	2.125858e+01	3.986931e+00
-4.700000e+00	2.838166e+01	4.379250e+00
0.000000e+00	4.314264e+01	5.198982e+00
4.700000e+00	4.603700e+01	5.364522e+00
9.400000e+00	5.288546e+01	5.763573e+00
1.410000e+01	5.365383e+01	5.779772e+00
1.880000e+01	4.934091e+01	5.549504e+00
2.350000e+01	4.793524e+01	5.478574e+00
2.820000e+01	3.902710e+01	4.967301e+00
3.290000e+01	3.575627e+01	4.802651e+00
3.760000e+01	2.944979e+01	4.448258e+00
4.230000e+01	2.290105e+01	4.069668e+00
4.700000e+01	1.804553e+01	3.811552e+00
5.170000e+01	1.805010e+01	3.805031e+00
5.640000e+01	1.281846e+01	3.499312e+00
6.110000e+01	9.115341e+00	3.293992e+00
6.580000e+01	7.243578e+00	3.187868e+00
7.050000e+01	5.990828e+00	3.116843e+00
7.520000e+01	5.601793e+00	3.092881e+00
7.990000e+01	3.220785e+00	2.955365e+00
8.460000e+01	1.440750e+00	2.855405e+00
8.930000e+01	2.670573e+00	2.923030e+00
9.400000e+01	3.056962e+00	2.943855e+00
9.870000e+01	2.871516e+00	2.936760e+00
1.034000e+02	3.370713e+00	2.965112e+00
1.081000e+02	1.917767e+00	2.881149e+00
1.128000e+02	1.329843e+00	2.846207e+00
1.175000e+02	1.333938e+00	2.847512e+00
1.222000e+02	1.452387e+00	2.857451e+00
1.269000e+02	1.837202e+00	2.880487e+00
1.316000e+02	1.150155e+00	2.836996e+00
1.363000e+02	1.327684e+00	2.846869e+00
1.410000e+02	2.737840e+00	2.926687e+00
1.457000e+02	1.796024e+00	2.873934e+00
1.504000e+02	1.676182e+00	2.864255e+00
1.551000e+02	9.275078e-01	2.822712e+00
1.598000e+02	3.619101e-01	2.789402e+00
1.645000e+02	1.234440e+00	2.840823e+00
1.692000e+02	6.528376e-01	2.806341e+00
1.739000e+02	2.769755e-01	2.785877e+00
1.786000e+02	-3.894050e-01	2.746658e+00
1.833000e+02	8.674012e-01	2.820212e+00
1.880000e+02	-8.941870e-02	2.764900e+00
1.927000e+02	-9.520735e-01	2.714498e+00
1.974000e+02	-7.603256e-01	2.724823e+00
2.021000e+02	-2.804005e-01	2.753739e+00
2.068000e+02	3.013740e-01	2.788562e+00
2.115000e+02	-2.724002e-01	2.754405e+00
2.162000e+02	1.336485e+00	2.840146e+00
2.209000e+02	9.348250e-02	2.774640e+00
2.256000e+02	4.938016e-01	2.799848e+00
2.303000e+02	1.097186e-01	2.776695e+00
2.350000e+02	9.421671e-02	2.775342e+00
2.397000e+02	1.981588e-01	2.782315e+00
2.444000e+02	5.773560e-01	2.803495e+00
2.491000e+02	-4.795835e-01	2.741521e+00
2.538000e+02	1.008285e-01	2.775806e+00
2.585000e+02	4.797251e-01	2.787779e+00
2.632000e+02	-8.466409e-01	2.722092e+00
2.679000e+02	9.488201e-01	2.821728e+00
2.726000e+02	-1.148722e+00	2.702817e+00
2.773000e+02	-2.765003e-01	2.754251e+00
2.820000e+02	-3.858753e-01	2.746319e+00
2.867000e+02	-5.759651e-01	2.735614e+00
2.914000e+02	-1.057912e+00	2.707337e+00
2.961000e+02	-9.493971e-01	2.714606e+00
3.008000e+02	-8.546788e-01	2.720333e+00
3.055000e+02	-4.752326e-01	2.742352e+00
3.102000e+02	3.711899e-01	2.791638e+00
