# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.632000e+02	1.922768e+00	2.751249e+00
-2.585000e+02	3.378409e-01	2.655984e+00
-2.538000e+02	7.090122e-01	2.674950e+00
-2.491000e+02	1.454778e+00	2.724340e+00
-2.444000e+02	3.311507e-01	2.657256e+00
-2.397000e+02	-1.359020e-01	2.629273e+00
-2.350000e+02	1.418778e-01	2.646437e+00
-2.303000e+02	-4.247108e-02	2.634540e+00
-2.256000e+02	1.434581e-01	2.645714e+00
-2.209000e+02	1.173686e+00	2.706960e+00
-2.162000e+02	7.029053e-01	2.678250e+00
-2.115000e+02	-7.882118e-01	2.589811e+00
-2.068000e+02	5.177511e-02	2.637502e+00
-2.021000e+02	-8.835141e-01	2.584863e+00
-1.974000e+02	-6.986018e-01	2.596040e+00
-1.927000e+02	-6.979943e-01	2.595730e+00
-1.880000e+02	-9.768458e-01	2.579024e+00
-1.833000e+02	-6.007973e-01	2.601531e+00
-1.786000e+02	1.274836e+00	2.713986e+00
-1.739000e+02	9.902818e-01	2.696215e+00
-1.692000e+02	6.133645e-01	2.673687e+00
-1.645000e+02	8.037932e-01	2.684426e+00
-1.598000e+02	-3.201061e-01	2.617725e+00
-1.551000e+02	9.866331e-01	2.694912e+00
-1.504000e+02	2.415758e-01	2.652090e+00
-1.457000e+02	-1.349058e-01	2.629047e+00
-1.410000e+02	7.060990e-01	2.679753e+00
-1.363000e+02	-4.141966e-02	2.635272e+00
-1.316000e+02	-1.372004e-01	2.630020e+00
-1.269000e+02	-1.359438e-01	2.629606e+00
-1.222000e+02	5.205426e-01	2.668804e+00
-1.175000e+02	5.204018e-01	2.668065e+00
-1.128000e+02	2.111326e+00	2.759073e+00
-1.081000e+02	7.079798e-01	2.680068e+00
-1.034000e+02	-4.011305e-02	2.636473e+00
-9.870000e+01	-4.189894e-01	2.612644e+00
-9.400000e+01	9.820524e-01	2.696158e+00
-8.930000e+01	1.733509e+00	2.738861e+00
-8.460000e+01	2.108715e+00	2.762608e+00
-7.990000e+01	4.251300e-01	2.662825e+00
-7.520000e+01	7.036163e-01	2.679311e+00
-7.050000e+01	1.454193e-01	2.646126e+00
-6.580000e+01	-1.302580e-01	2.629911e+00
-6.110000e+01	-3.177985e-01	2.617787e+00
-5.640000e+01	1.465589e-01	2.646345e+00
-5.170000e+01	-1.312800e-01	2.628882e+00
-4.700000e+01	-1.354704e-01	2.629059e+00
-4.230000e+01	-3.190744e-01	2.617844e+00
-3.760000e+01	4.267134e-01	2.663977e+00
-3.290000e+01	-3.227128e-01	2.618458e+00
-2.820000e+01	1.082057e+00	2.701201e+00
-2.350000e+01	2.574133e+00	2.790235e+00
-1.880000e+01	4.728018e+00	2.916846e+00
-1.410000e+01	7.433703e+00	3.073299e+00
-9.400000e+00	1.838753e+01	3.709261e+00
-4.700000e+00	2.699297e+01	4.200012e+00
0.000000e+00	3.866625e+01	4.853755e+00
4.700000e+00	4.389390e+01	5.146656e+00
9.400000e+00	4.961752e+01	5.499659e+00
1.410000e+01	4.830638e+01	5.427732e+00
1.880000e+01	4.596804e+01	5.287361e+00
2.350000e+01	4.467152e+01	5.208663e+00
2.820000e+01	4.092208e+01	4.990788e+00
3.290000e+01	4.026614e+01	4.952589e+00
3.760000e+01	3.270646e+01	4.514788e+00
4.230000e+01	2.306104e+01	3.985668e+00
4.700000e+01	2.249263e+01	3.947499e+00
5.170000e+01	1.996830e+01	3.805942e+00
5.640000e+01	1.361180e+01	3.426918e+00
6.110000e+01	9.966955e+00	3.226076e+00
6.580000e+01	8.374866e+00	3.129958e+00
7.050000e+01	5.473658e+00	2.961075e+00
7.520000e+01	5.855960e+00	2.983691e+00
7.990000e+01	2.300790e+00	2.774979e+00
8.460000e+01	2.103204e+00	2.761870e+00
8.930000e+01	2.669467e+00	2.795251e+00
9.400000e+01	2.488554e+00	2.781148e+00
9.870000e+01	2.113541e+00	2.761181e+00
1.034000e+02	3.232042e+00	2.828145e+00
1.081000e+02	1.268801e+00	2.710587e+00
1.128000e+02	2.393520e+00	2.776655e+00
1.175000e+02	1.922309e+00	2.749008e+00
1.222000e+02	9.871756e-01	2.693763e+00
1.269000e+02	9.859380e-01	2.694582e+00
1.316000e+02	1.080731e+00	2.701176e+00
1.363000e+02	5.105098e-02	2.641494e+00
1.410000e+02	1.922341e+00	2.751920e+00
1.457000e+02	1.733697e+00	2.740615e+00
1.504000e+02	1.923264e+00	2.750183e+00
1.551000e+02	8.988204e-01	2.691868e+00
1.598000e+02	6.135479e-01	2.674259e+00
1.645000e+02	3.352225e-01	2.657625e+00
1.692000e+02	6.160298e-01	2.673710e+00
1.739000e+02	5.147865e-01	2.667995e+00
1.786000e+02	6.108763e-01	2.673616e+00
1.833000e+02	2.377186e-01	2.650823e+00
1.880000e+02	1.447116e-01	2.645603e+00
1.927000e+02	-2.297057e-01	2.623711e+00
1.974000e+02	5.162691e-01	2.669073e+00
2.021000e+02	1.164906e+00	2.708631e+00
2.068000e+02	1.724964e+00	2.743003e+00
2.115000e+02	7.959419e-01	2.686071e+00
2.162000e+02	2.663836e+00	2.793049e+00
2.209000e+02	1.464011e-01	2.645529e+00
2.256000e+02	5.161896e-01	2.667790e+00
2.303000e+02	-6.024635e-01	2.601358e+00
2.350000e+02	3.294969e-01	2.656644e+00
2.397000e+02	-4.162863e-01	2.613125e+00
2.444000e+02	1.448623e+00	2.722762e+00
2.491000e+02	3.267953e-01	2.655576e+00
2.538000e+02	-5.093707e-01	2.606946e+00
