# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.632000e+02	2.210449e+00	2.716156e+00
-2.585000e+02	2.284550e+00	2.723485e+00
-2.538000e+02	1.801557e+00	2.695585e+00
-2.491000e+02	2.009610e+00	2.701586e+00
-2.444000e+02	1.722321e+00	2.688204e+00
-2.397000e+02	1.436793e+00	2.671635e+00
-2.350000e+02	7.689938e-01	2.632994e+00
-2.303000e+02	4.966531e-01	2.617119e+00
-2.256000e+02	7.884561e-01	2.634042e+00
-2.209000e+02	2.995728e-01	2.604960e+00
-2.162000e+02	8.886584e-01	2.639104e+00
-2.115000e+02	5.943883e-01	2.621477e+00
-2.068000e+02	-2.616645e-01	2.572303e+00
-2.021000e+02	-6.247970e-01	2.553667e+00
-1.974000e+02	3.887110e-02	2.590549e+00
-1.927000e+02	1.216379e-01	2.594899e+00
-1.880000e+02	3.043102e-02	2.590003e+00
-1.833000e+02	3.510391e-02	2.591038e+00
-1.786000e+02	3.163794e-01	2.606875e+00
-1.739000e+02	-5.528203e-01	2.556191e+00
-1.692000e+02	-7.370609e-02	2.584188e+00
-1.645000e+02	-1.025744e+00	2.528996e+00
-1.598000e+02	-1.224620e+00	2.517238e+00
-1.551000e+02	-9.357706e-01	2.533555e+00
-1.504000e+02	-7.798927e-02	2.583755e+00
-1.457000e+02	-4.682971e-01	2.561429e+00
-1.410000e+02	-8.281121e-02	2.583159e+00
-1.363000e+02	-6.681986e-01	2.549808e+00
-1.316000e+02	-8.630302e-02	2.583287e+00
-1.269000e+02	-2.723058e-01	2.572510e+00
-1.222000e+02	-1.221847e+00	2.515332e+00
-1.175000e+02	-1.233096e+00	2.517451e+00
-1.128000e+02	4.740918e-01	2.616212e+00
-1.081000e+02	-1.425912e+00	2.505599e+00
-1.034000e+02	-5.572629e-01	2.556072e+00
-9.870000e+01	-8.600311e-02	2.582717e+00
-9.400000e+01	1.905255e-01	2.599012e+00
-8.930000e+01	-6.761409e-01	2.549100e+00
-8.460000e+01	1.633294e+00	2.678529e+00
-7.990000e+01	9.831302e-02	2.593300e+00
-7.520000e+01	2.966110e-01	2.604805e+00
-7.050000e+01	-1.324838e+00	2.511210e+00
-6.580000e+01	-1.126718e+00	2.523455e+00
-6.110000e+01	-1.416576e+00	2.505986e+00
-5.640000e+01	-5.597295e-01	2.555322e+00
-5.170000e+01	-1.217274e+00	2.518963e+00
-4.700000e+01	-5.516846e-01	2.557071e+00
-4.230000e+01	-1.032913e+00	2.528654e+00
-3.760000e+01	-2.549402e-01	2.572864e+00
-3.290000e+01	3.967173e-01	2.610119e+00
