# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.679000e+02	3.451263e-02	2.707316e+00
-2.632000e+02	-6.352042e-01	2.668567e+00
-2.585000e+02	-1.290284e+00	2.629876e+00
-2.538000e+02	-1.014793e+00	2.645946e+00
-2.491000e+02	-6.364467e-01	2.668023e+00
-2.444000e+02	-1.011826e+00	2.646213e+00
-2.397000e+02	-4.622496e-01	2.678599e+00
-2.350000e+02	3.031400e-01	2.722918e+00
-2.303000e+02	1.116471e-02	2.706772e+00
-2.256000e+02	-5.617862e-01	2.673553e+00
-2.209000e+02	2.145659e-01	2.716932e+00
-2.162000e+02	-6.390989e-01	2.667391e+00
-2.115000e+02	-6.260933e-01	2.664144e+00
-2.068000e+02	-7.364189e-01	2.661862e+00
-2.021000e+02	2.033557e-01	2.716677e+00
-1.974000e+02	-5.517992e-01	2.673108e+00
-1.927000e+02	-4.383465e-01	2.679624e+00
-1.880000e+02	-1.005911e+00	2.645804e+00
-1.833000e+02	-1.109832e+00	2.640091e+00
-1.786000e+02	-4.478361e-01	2.677981e+00
-1.739000e+02	-6.458922e-01	2.667040e+00
-1.692000e+02	1.146224e-01	2.712341e+00
-1.645000e+02	1.360932e+00	2.784019e+00
-1.598000e+02	5.939951e-01	2.738868e+00
-1.551000e+02	2.855227e-01	2.724136e+00
-1.504000e+02	-6.372851e-01	2.667590e+00
-1.457000e+02	-1.099832e+00	2.640010e+00
-1.410000e+02	-9.992176e-01	2.646612e+00
-1.363000e+02	-7.285805e-01	2.662445e+00
-1.316000e+02	-6.311778e-01	2.667281e+00
-1.269000e+02	3.647061e-02	2.705585e+00
-1.222000e+02	-1.371811e+00	2.625063e+00
-1.175000e+02	-8.330275e-01	2.656807e+00
-1.128000e+02	-1.016859e+00	2.645922e+00
-1.081000e+02	-7.299555e-01	2.662353e+00
-1.034000e+02	-1.309522e+00	2.629321e+00
-9.870000e+01	-1.885543e-01	2.697180e+00
-9.400000e+01	-6.535945e-01	2.668952e+00
-8.930000e+01	2.204111e+00	2.831040e+00
-8.460000e+01	6.761327e-01	2.745836e+00
-7.990000e+01	9.494484e-01	2.762760e+00
-7.520000e+01	9.790413e-01	2.758418e+00
-7.050000e+01	1.262794e+00	2.778088e+00
-6.580000e+01	8.769258e-01	2.755390e+00
-6.110000e+01	3.425392e-02	2.705560e+00
-5.640000e+01	3.304386e-01	2.723109e+00
-5.170000e+01	3.367832e-01	2.724326e+00
-4.700000e+01	-5.120197e-02	2.701330e+00
-4.230000e+01	3.378179e-02	2.705482e+00
-3.760000e+01	-5.818602e-02	2.700478e+00
-3.290000e+01	1.900827e+00	2.816034e+00
-2.820000e+01	4.565127e+00	2.969761e+00
