# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.679000e+02	2.563609e-02	2.858981e+00
-2.632000e+02	-8.366311e-01	2.810646e+00
-2.585000e+02	-1.338471e+00	2.782782e+00
-2.538000e+02	-1.323026e+00	2.782420e+00
-2.491000e+02	-9.332342e-01	2.804351e+00
-2.444000e+02	-1.029439e+00	2.798852e+00
-2.397000e+02	-1.226132e+00	2.787854e+00
-2.350000e+02	-1.786790e+00	2.754596e+00
-2.303000e+02	-1.027720e+00	2.798481e+00
-2.256000e+02	-2.362295e+00	2.721434e+00
-2.209000e+02	-1.401360e+00	2.776676e+00
-2.162000e+02	-7.401324e-02	2.854193e+00
-2.115000e+02	-6.865754e-02	2.854433e+00
-2.068000e+02	-1.008527e+00	2.800200e+00
-2.021000e+02	-1.112929e+00	2.794581e+00
-1.974000e+02	-1.606210e+00	2.766142e+00
-1.927000e+02	2.978475e-01	2.875497e+00
-1.880000e+02	-1.042269e+00	2.798388e+00
-1.833000e+02	4.844666e-01	2.884238e+00
-1.786000e+02	3.019538e-01	2.878218e+00
-1.739000e+02	-8.977604e-02	2.854370e+00
-1.692000e+02	-4.615625e-01	2.831547e+00
-1.645000e+02	-1.313554e+00	2.782436e+00
-1.598000e+02	-1.513804e+00	2.771165e+00
-1.551000e+02	-1.040127e+00	2.798086e+00
-1.504000e+02	-1.043186e+00	2.798397e+00
-1.457000e+02	-1.227505e+00	2.788551e+00
-1.410000e+02	-3.739384e-01	2.837036e+00
-1.363000e+02	-1.216589e+00	2.786980e+00
-1.316000e+02	-1.309432e+00	2.781497e+00
-1.269000e+02	-6.458221e-01	2.820952e+00
-1.222000e+02	-8.257092e-01	2.810593e+00
-1.175000e+02	9.542341e-01	2.914703e+00
-1.128000e+02	-1.035216e+00	2.798202e+00
-1.081000e+02	-1.321495e+00	2.782393e+00
-1.034000e+02	-1.035333e+00	2.798882e+00
-9.870000e+01	-1.031066e+00	2.798508e+00
-9.400000e+01	-2.703864e-01	2.842460e+00
-8.930000e+01	5.741682e-01	2.889417e+00
-8.460000e+01	-4.545152e-01	2.829304e+00
-7.990000e+01	-1.210993e+00	2.788276e+00
-7.520000e+01	-1.603670e+00	2.765826e+00
-7.050000e+01	-1.506461e+00	2.771583e+00
-6.580000e+01	-1.408890e+00	2.777029e+00
-6.110000e+01	-5.511140e-01	2.827011e+00
-5.640000e+01	-1.806961e-01	2.848402e+00
-5.170000e+01	-7.411115e-01	2.814919e+00
-4.700000e+01	2.964597e-01	2.872474e+00
-4.230000e+01	-3.647183e-01	2.835878e+00
-3.760000e+01	-2.628806e-01	2.842203e+00
-3.290000e+01	2.217028e+00	2.986184e+00
-2.820000e+01	4.096565e+00	3.092703e+00
-2.350000e+01	6.100185e+00	3.212450e+00
-1.880000e+01	1.101740e+01	3.497885e+00
-1.410000e+01	1.801662e+01	3.895747e+00
-9.400000e+00	2.654926e+01	4.393257e+00
-4.700000e+00	3.751118e+01	5.006049e+00
0.000000e+00	3.932547e+01	5.105741e+00
4.700000e+00	4.249771e+01	5.289465e+00
9.400000e+00	4.148393e+01	5.207810e+00
1.410000e+01	3.874024e+01	5.079796e+00
1.880000e+01	3.395385e+01	4.793604e+00
2.350000e+01	3.350203e+01	4.759850e+00
2.820000e+01	2.677305e+01	4.382881e+00
3.290000e+01	2.537637e+01	4.316687e+00
3.760000e+01	1.821325e+01	3.907814e+00
4.230000e+01	1.777689e+01	3.877843e+00
4.700000e+01	1.120397e+01	3.505395e+00
