# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.914000e+02	1.266933e+00	4.698332e+00
-2.867000e+02	4.105524e+00	5.691833e+00
-2.820000e+02	8.185537e+00	7.124162e+00
-2.773000e+02	2.156532e+00	5.005440e+00
-2.726000e+02	7.358235e-01	4.514119e+00
-2.679000e+02	7.367223e-01	4.510615e+00
-2.632000e+02	3.815549e-01	4.386255e+00
-2.585000e+02	2.035918e-01	4.322439e+00
-2.538000e+02	2.034517e-01	4.323770e+00
-2.491000e+02	5.582175e-01	4.450037e+00
-2.444000e+02	9.127589e-01	4.574616e+00
-2.397000e+02	-3.280252e-01	4.135201e+00
-2.350000e+02	1.089530e+00	4.631702e+00
-2.303000e+02	1.088524e+00	4.632062e+00
-2.256000e+02	1.088798e+00	4.632704e+00
-2.209000e+02	2.031258e-01	4.323929e+00
-2.162000e+02	5.587189e-01	4.446760e+00
-2.115000e+02	-1.505415e-01	4.197725e+00
-2.068000e+02	-1.503934e-01	4.197829e+00
-2.021000e+02	5.578916e-01	4.448797e+00
-1.974000e+02	3.810835e-01	4.386304e+00
-1.927000e+02	2.035586e-01	4.324163e+00
-1.880000e+02	5.591389e-01	4.447838e+00
-1.833000e+02	1.091167e+00	4.638640e+00
-1.786000e+02	1.445751e+00	4.724824e+00
-1.739000e+02	1.621842e+00	4.823502e+00
-1.692000e+02	9.134240e-01	4.568406e+00
-1.645000e+02	-3.271515e-01	4.134092e+00
-1.598000e+02	5.581887e-01	4.445787e+00
-1.551000e+02	2.631485e-02	4.260154e+00
-1.504000e+02	2.788058e-02	4.258390e+00
-1.457000e+02	-1.497257e-01	4.198185e+00
-1.410000e+02	-1.507446e-01	4.163227e+00
-1.363000e+02	2.674275e-02	4.259729e+00
-1.316000e+02	5.577871e-01	4.447784e+00
-1.269000e+02	-3.278115e-01	4.136174e+00
-1.222000e+02	3.812568e-01	4.382628e+00
-1.175000e+02	-3.277311e-01	4.135811e+00
-1.128000e+02	-1.511566e-01	4.198055e+00
-1.081000e+02	5.567539e-01	4.449583e+00
-1.034000e+02	9.128331e-01	4.572013e+00
-9.870000e+01	2.040770e-01	4.323576e+00
-9.400000e+01	5.593138e-01	4.445511e+00
-8.930000e+01	2.693821e-02	4.258422e+00
-8.460000e+01	9.124042e-01	4.575059e+00
-7.990000e+01	5.589052e-01	4.446065e+00
-7.520000e+01	7.352204e-01	4.507867e+00
-7.050000e+01	2.044136e-01	4.321579e+00
-6.580000e+01	1.268238e+00	4.690611e+00
-6.110000e+01	3.813161e-01	4.381692e+00
-5.640000e+01	1.265626e+00	4.695861e+00
-5.170000e+01	1.799797e+00	4.845871e+00
-4.700000e+01	1.619409e+00	4.823849e+00
-4.230000e+01	1.799140e+00	4.881087e+00
-3.760000e+01	2.330281e+00	5.035020e+00
-3.290000e+01	4.632336e+00	5.878803e+00
-2.820000e+01	8.351888e+00	7.041923e+00
-2.350000e+01	1.685523e+01	9.933791e+00
-1.880000e+01	2.447477e+01	1.258749e+01
-1.410000e+01	3.706067e+01	1.645722e+01
-9.400000e+00	5.405669e+01	2.180967e+01
-4.700000e+00	7.107176e+01	2.622864e+01
0.000000e+00	7.957629e+01	2.786344e+01
4.700000e+00	7.442875e+01	2.705775e+01
9.400000e+00	7.938933e+01	2.860961e+01
1.410000e+01	7.088711e+01	2.647548e+01
1.880000e+01	6.769698e+01	2.557184e+01
2.350000e+01	6.079046e+01	2.355609e+01
2.820000e+01	5.353541e+01	2.123702e+01
3.290000e+01	4.041514e+01	1.722975e+01
3.760000e+01	4.094309e+01	1.752954e+01
4.230000e+01	2.943126e+01	1.409375e+01
4.700000e+01	2.659940e+01	1.309257e+01
