# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.914000e+02	-3.801305e-01	4.847403e+00
-2.867000e+02	-2.104983e-01	4.909724e+00
-2.820000e+02	6.374438e-01	5.219821e+00
-2.773000e+02	4.670315e-01	5.154801e+00
-2.726000e+02	4.672026e-01	5.159095e+00
-2.679000e+02	-3.807734e-01	4.845956e+00
-2.632000e+02	-7.199876e-01	4.721569e+00
-2.585000e+02	-3.807562e-01	4.848960e+00
-2.538000e+02	1.284459e-01	5.032189e+00
-2.491000e+02	1.278603e-01	5.035254e+00
-2.444000e+02	-5.501687e-01	4.786218e+00
-2.397000e+02	-7.202429e-01	4.723671e+00
-2.350000e+02	-3.804567e-01	4.847269e+00
-2.303000e+02	2.993914e-01	5.095362e+00
-2.256000e+02	1.289309e-01	5.031440e+00
-2.209000e+02	9.767184e-01	5.347414e+00
-2.162000e+02	6.369205e-01	5.219748e+00
-2.115000e+02	-3.797125e-01	4.847047e+00
-2.068000e+02	-3.797633e-01	4.847959e+00
-2.021000e+02	-2.100935e-01	4.910136e+00
-1.974000e+02	-3.798646e-01	4.847207e+00
-1.927000e+02	-2.113234e-01	4.910785e+00
-1.880000e+02	-3.812276e-01	4.849320e+00
-1.833000e+02	-3.803384e-01	4.847420e+00
-1.786000e+02	1.286437e-01	5.025563e+00
-1.739000e+02	1.281131e-01	5.030696e+00
-1.692000e+02	-4.125966e-02	4.971156e+00
-1.645000e+02	-5.504225e-01	4.785209e+00
-1.598000e+02	-2.108964e-01	4.908335e+00
-1.551000e+02	-5.499063e-01	4.784713e+00
-1.504000e+02	-5.506884e-01	4.785406e+00
-1.457000e+02	-2.109576e-01	4.873703e+00
-1.410000e+02	2.980343e-01	5.093010e+00
-1.363000e+02	-4.123956e-02	4.971226e+00
-1.316000e+02	8.089860e-01	5.246377e+00
-1.269000e+02	1.316967e+00	5.461292e+00
-1.222000e+02	1.317399e+00	5.464060e+00
-1.175000e+02	2.981434e-01	5.094613e+00
-1.128000e+02	1.298296e-01	5.034717e+00
-1.081000e+02	2.987200e-01	5.096107e+00
-1.034000e+02	1.298959e-01	5.032288e+00
-9.870000e+01	-4.009682e-02	4.969727e+00
-9.400000e+01	2.996921e-01	5.089748e+00
-8.930000e+01	4.686374e-01	5.154538e+00
-8.460000e+01	4.677196e-01	5.152198e+00
-7.990000e+01	2.981611e-01	5.093738e+00
-7.520000e+01	-4.188416e-02	4.970467e+00
-7.050000e+01	1.147988e+00	5.404686e+00
-6.580000e+01	1.288141e-01	5.033734e+00
-6.110000e+01	-2.097099e-01	4.908698e+00
-5.640000e+01	1.654680e+00	5.590468e+00
-5.170000e+01	2.335435e+00	5.798883e+00
-4.700000e+01	1.656980e+00	5.589788e+00
-4.230000e+01	3.693635e+00	6.322919e+00
-3.760000e+01	5.731195e+00	7.037489e+00
-3.290000e+01	6.578755e+00	7.295460e+00
-2.820000e+01	1.048874e+01	8.693629e+00
-2.350000e+01	2.185350e+01	1.258928e+01
-1.880000e+01	3.509561e+01	1.682355e+01
-1.410000e+01	5.477747e+01	2.277643e+01
-9.400000e+00	6.836046e+01	2.664073e+01
-4.700000e+00	6.717730e+01	2.639756e+01
0.000000e+00	7.667512e+01	2.882780e+01
4.700000e+00	7.531914e+01	2.867921e+01
9.400000e+00	6.853622e+01	2.682115e+01
1.410000e+01	5.919892e+01	2.387791e+01
1.880000e+01	5.597749e+01	2.295439e+01
2.350000e+01	5.597740e+01	2.325847e+01
2.820000e+01	4.034811e+01	1.839104e+01
3.290000e+01	3.458854e+01	1.677809e+01
3.760000e+01	3.628525e+01	1.707690e+01
4.230000e+01	2.219413e+01	1.269286e+01
4.700000e+01	1.795234e+01	1.125521e+01
5.170000e+01	1.506904e+01	1.021955e+01
5.640000e+01	1.625618e+01	1.066399e+01
6.110000e+01	1.201077e+01	9.279519e+00
6.580000e+01	6.239261e+00	7.244691e+00
7.050000e+01	6.067503e+00	7.181386e+00
7.520000e+01	6.067165e+00	7.190571e+00
7.990000e+01	6.065141e+00	7.113458e+00
8.460000e+01	4.712865e+00	6.690228e+00
8.930000e+01	3.693244e+00	6.327528e+00
9.400000e+01	3.522663e+00	6.258304e+00
9.870000e+01	4.372625e+00	6.572418e+00
1.034000e+02	3.691781e+00	6.291984e+00
1.081000e+02	1.654873e+00	5.591745e+00
1.128000e+02	1.317610e+00	5.464433e+00
1.175000e+02	2.508468e+00	5.864929e+00
1.222000e+02	3.865927e+00	6.395909e+00
1.269000e+02	3.524327e+00	6.264122e+00
1.316000e+02	6.369623e-01	5.218347e+00
