# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.961000e+02	7.613494e-01	5.273871e+00
-2.914000e+02	9.241303e-01	5.302590e+00
-2.867000e+02	7.632437e-01	5.273741e+00
-2.820000e+02	2.734785e-01	5.087671e+00
-2.773000e+02	2.714389e-01	5.087075e+00
-2.726000e+02	-3.805738e-01	4.837652e+00
-2.679000e+02	-3.819534e-01	4.832268e+00
-2.632000e+02	-2.195831e-01	4.896543e+00
-2.585000e+02	1.084834e-01	5.025366e+00
-2.538000e+02	5.986168e-01	5.201977e+00
-2.491000e+02	1.086352e-01	5.017366e+00
-2.444000e+02	1.084560e-01	5.020922e+00
-2.397000e+02	-2.182499e-01	4.897750e+00
-2.350000e+02	-5.406886e-02	4.955578e+00
-2.303000e+02	4.361741e-01	5.145276e+00
-2.256000e+02	-5.527355e-02	4.951700e+00
-2.209000e+02	2.702396e-01	5.080924e+00
-2.162000e+02	1.081744e-01	5.011679e+00
-2.115000e+02	2.719035e-01	5.079609e+00
-2.068000e+02	-5.451018e-01	4.774219e+00
-2.021000e+02	1.086821e-01	5.019102e+00
-1.974000e+02	5.964429e-01	5.206240e+00
-1.927000e+02	-5.641895e-02	4.954489e+00
-1.880000e+02	-3.822375e-01	4.830079e+00
-1.833000e+02	-5.454315e-01	4.771159e+00
-1.786000e+02	4.320838e-01	5.146338e+00
-1.739000e+02	1.084259e+00	5.394806e+00
-1.692000e+02	1.084774e+00	5.396806e+00
-1.645000e+02	1.068089e-01	5.021447e+00
-1.598000e+02	-5.635325e-02	4.958437e+00
-1.551000e+02	1.247643e+00	5.442358e+00
-1.504000e+02	5.945862e-01	5.191816e+00
-1.457000e+02	4.321993e-01	5.136455e+00
-1.410000e+02	-3.822157e-01	4.832437e+00
-1.363000e+02	-5.585081e-02	4.957044e+00
-1.316000e+02	-2.186680e-01	4.892397e+00
-1.269000e+02	-2.192682e-01	4.891687e+00
-1.222000e+02	-5.658298e-02	4.951106e+00
-1.175000e+02	1.069989e-01	5.018208e+00
-1.128000e+02	-2.185749e-01	4.896826e+00
-1.081000e+02	4.326135e-01	5.142018e+00
-1.034000e+02	4.325066e-01	5.140117e+00
-9.870000e+01	-5.678869e-02	4.952477e+00
-9.400000e+01	4.343032e-01	5.140928e+00
-8.930000e+01	5.973291e-01	5.199603e+00
-8.460000e+01	-2.173209e-01	4.895510e+00
-7.990000e+01	5.974020e-01	5.204609e+00
-7.520000e+01	-2.185805e-01	4.897981e+00
-7.050000e+01	-3.821166e-01	4.835723e+00
-6.580000e+01	-5.447398e-02	4.961132e+00
-6.110000e+01	1.093004e-01	5.021098e+00
-5.640000e+01	1.079109e-01	5.022410e+00
-5.170000e+01	1.415187e+00	5.520466e+00
-4.700000e+01	2.692953e-01	5.077001e+00
-4.230000e+01	1.249549e+00	5.451244e+00
-3.760000e+01	2.560148e+00	5.946165e+00
-3.290000e+01	4.189252e+00	6.491837e+00
-2.820000e+01	7.124921e+00	7.551009e+00
-2.350000e+01	9.248715e+00	8.348047e+00
-1.880000e+01	1.495534e+01	1.042422e+01
-1.410000e+01	2.181771e+01	1.280806e+01
-9.400000e+00	3.242408e+01	1.639438e+01
-4.700000e+00	3.894468e+01	1.854232e+01
0.000000e+00	3.732323e+01	1.815542e+01
4.700000e+00	4.350952e+01	1.998718e+01
9.400000e+00	4.613197e+01	2.088922e+01
1.410000e+01	4.303533e+01	1.987568e+01
1.880000e+01	4.368075e+01	2.027854e+01
2.350000e+01	3.943334e+01	1.851302e+01
2.820000e+01	3.227200e+01	1.653813e+01
3.290000e+01	3.454627e+01	1.725933e+01
3.760000e+01	2.165248e+01	1.284454e+01
4.230000e+01	2.198038e+01	1.291151e+01
4.700000e+01	1.969576e+01	1.212024e+01
5.170000e+01	1.365424e+01	1.002409e+01
5.640000e+01	8.600520e+00	8.188700e+00
6.110000e+01	8.756102e+00	8.240236e+00
6.580000e+01	7.282020e+00	7.697021e+00
7.050000e+01	7.291244e+00	7.691009e+00
7.520000e+01	6.798868e+00	7.519691e+00
7.990000e+01	4.845886e+00	6.813915e+00
8.460000e+01	3.864397e+00	6.441165e+00
8.930000e+01	5.494102e+00	7.058828e+00
9.400000e+01	3.532196e+00	6.317772e+00
9.870000e+01	3.374077e+00	6.258254e+00
1.034000e+02	1.903409e+00	5.692817e+00
1.081000e+02	2.394790e+00	5.884393e+00
1.128000e+02	1.412113e+00	5.518444e+00
1.175000e+02	1.414214e+00	5.514900e+00
1.222000e+02	1.906410e+00	5.703951e+00
1.269000e+02	1.904646e+00	5.690620e+00
1.316000e+02	2.066504e+00	5.754973e+00
1.363000e+02	2.723015e+00	5.999890e+00
1.410000e+02	1.088410e+00	5.388884e+00
1.457000e+02	1.741088e+00	5.636002e+00
1.504000e+02	1.253911e+00	5.452597e+00
1.551000e+02	1.417599e+00	5.511565e+00
1.598000e+02	1.412888e+00	5.519066e+00
1.645000e+02	4.357281e-01	5.145581e+00
1.692000e+02	5.968844e-01	5.203897e+00
1.739000e+02	1.251723e+00	5.460189e+00
1.786000e+02	7.615284e-01	5.229544e+00
1.833000e+02	1.086469e-01	5.022743e+00
1.880000e+02	2.711276e-01	5.085359e+00
1.927000e+02	1.091430e-01	5.020544e+00
1.974000e+02	6.017606e-01	5.205666e+00
2.021000e+02	4.348470e-01	5.138754e+00
2.068000e+02	1.248336e+00	5.442080e+00
2.115000e+02	5.968765e-01	5.207866e+00
2.162000e+02	2.718755e-01	5.085145e+00
2.209000e+02	1.249826e+00	5.448640e+00
2.256000e+02	1.084307e+00	5.392915e+00
2.303000e+02	5.964137e-01	5.172609e+00
2.350000e+02	1.088192e+00	5.389312e+00
2.397000e+02	4.324256e-01	5.145075e+00
2.444000e+02	5.966786e-01	5.207894e+00
2.491000e+02	1.741208e+00	5.638775e+00
2.538000e+02	7.599852e-01	5.271808e+00
2.585000e+02	7.616754e-01	5.274519e+00
2.632000e+02	5.985028e-01	5.209905e+00
2.679000e+02	7.626168e-01	5.270879e+00
2.726000e+02	1.086588e+00	5.385929e+00
2.773000e+02	1.572481e+00	5.578210e+00
2.820000e+02	1.084242e+00	5.402870e+00
2.867000e+02	5.953865e-01	5.212444e+00
2.914000e+02	2.702508e-01	5.087582e+00
2.961000e+02	5.966476e-01	5.204937e+00
3.008000e+02	1.574792e+00	5.544109e+00
3.055000e+02	1.574679e+00	5.586431e+00
3.102000e+02	1.411300e+00	5.520727e+00
3.149000e+02	7.590424e-01	5.273589e+00
3.196000e+02	5.967222e-01	5.208651e+00
3.243000e+02	5.969410e-01	5.200081e+00
3.290000e+02	-5.660049e-02	4.964014e+00
3.337000e+02	5.956226e-01	5.206874e+00
3.384000e+02	1.739915e+00	5.652791e+00
3.431000e+02	1.738226e+00	5.651549e+00
3.478000e+02	7.594726e-01	5.279882e+00
3.525000e+02	1.077869e-01	5.025027e+00
3.572000e+02	9.232819e-01	5.336631e+00
3.619000e+02	2.708472e-01	5.089424e+00
3.666000e+02	1.079059e-01	5.022067e+00
3.713000e+02	4.352533e-01	5.149118e+00
3.760000e+02	-5.575807e-02	4.957385e+00
3.807000e+02	-3.808576e-01	4.834832e+00
