# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.914000e+02	3.994783e-01	4.839590e+00
-2.867000e+02	6.801466e-02	4.715270e+00
-2.820000e+02	3.966111e-01	4.838107e+00
-2.773000e+02	6.694755e-02	4.716781e+00
-2.726000e+02	-1.000615e-01	4.653833e+00
-2.679000e+02	7.360367e-01	4.963721e+00
-2.632000e+02	1.073151e+00	5.086176e+00
-2.585000e+02	7.413320e-01	4.961447e+00
-2.538000e+02	1.742051e+00	5.334565e+00
-2.491000e+02	4.028442e-01	4.839029e+00
-2.444000e+02	2.334688e-01	4.778017e+00
-2.397000e+02	4.046313e-01	4.837811e+00
-2.350000e+02	1.901645e+00	5.398388e+00
-2.303000e+02	7.332901e-01	4.964149e+00
-2.256000e+02	-4.336675e-01	4.529756e+00
-2.209000e+02	-4.332569e-01	4.530236e+00
-2.162000e+02	-1.019164e-01	4.655632e+00
-2.115000e+02	-4.350204e-01	4.529292e+00
-2.068000e+02	-2.678041e-01	4.592609e+00
-2.021000e+02	-1.010922e-01	4.653915e+00
-1.974000e+02	-4.321532e-01	4.530498e+00
-1.927000e+02	3.995685e-01	4.839312e+00
-1.880000e+02	6.911358e-02	4.714459e+00
-1.833000e+02	-4.308890e-01	4.530018e+00
-1.786000e+02	-9.763253e-02	4.654998e+00
-1.739000e+02	2.357210e-01	4.775263e+00
-1.692000e+02	7.343034e-01	4.962525e+00
-1.645000e+02	6.297617e-02	4.716682e+00
-1.598000e+02	5.639674e-01	4.905549e+00
-1.551000e+02	5.691818e-01	4.904520e+00
-1.504000e+02	3.955498e-01	4.841930e+00
-1.457000e+02	3.987367e-01	4.841551e+00
-1.410000e+02	7.346162e-01	4.964416e+00
-1.363000e+02	1.224533e+00	5.149770e+00
-1.316000e+02	2.357474e-01	4.779088e+00
-1.269000e+02	-4.319063e-01	4.530086e+00
-1.222000e+02	2.333505e-01	4.775905e+00
-1.175000e+02	9.002327e-01	5.024394e+00
-1.128000e+02	2.351333e-01	4.777165e+00
