# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.961000e+02	1.380974e-01	5.477728e+00
-2.914000e+02	4.522854e-01	5.601220e+00
-2.867000e+02	-1.780479e-01	5.353750e+00
-2.820000e+02	-1.797918e-01	5.351926e+00
-2.773000e+02	4.526586e-01	5.588982e+00
-2.726000e+02	-1.793694e-01	5.348434e+00
-2.679000e+02	-2.165951e-02	5.412577e+00
-2.632000e+02	-1.794092e-01	5.352928e+00
-2.585000e+02	-6.519612e-01	5.167067e+00
-2.538000e+02	-6.519916e-01	5.168047e+00
-2.491000e+02	2.937263e-01	5.534672e+00
-2.444000e+02	-2.222140e-02	5.408350e+00
-2.397000e+02	-4.947027e-01	5.226909e+00
-2.350000e+02	-3.374079e-01	5.291484e+00
-2.303000e+02	-2.291018e-02	5.412475e+00
-2.256000e+02	2.932838e-01	5.539952e+00
-2.209000e+02	-3.365455e-01	5.289684e+00
-2.162000e+02	-3.358072e-01	5.289191e+00
-2.115000e+02	6.090775e-01	5.662187e+00
-2.068000e+02	2.940624e-01	5.537394e+00
-2.021000e+02	-1.791922e-01	5.352608e+00
-1.974000e+02	-1.800549e-01	5.352622e+00
-1.927000e+02	-2.242475e-02	5.414792e+00
-1.880000e+02	2.922739e-01	5.532036e+00
-1.833000e+02	-1.786178e-01	5.348704e+00
-1.786000e+02	-4.938078e-01	5.229053e+00
-1.739000e+02	-3.373641e-01	5.291906e+00
-1.692000e+02	1.363347e-01	5.481168e+00
-1.645000e+02	6.090136e-01	5.660974e+00
-1.598000e+02	-2.157480e-02	5.413752e+00
-1.551000e+02	-4.950833e-01	5.227402e+00
-1.504000e+02	-2.176915e-02	5.415473e+00
-1.457000e+02	-4.940139e-01	5.231457e+00
-1.410000e+02	-3.367968e-01	5.290149e+00
-1.363000e+02	4.519241e-01	5.600705e+00
-1.316000e+02	-2.157732e-02	5.382068e+00
-1.269000e+02	2.939848e-01	5.534552e+00
-1.222000e+02	4.514358e-01	5.600892e+00
-1.175000e+02	2.928846e-01	5.536742e+00
-1.128000e+02	-2.246663e-02	5.411810e+00
-1.081000e+02	-1.792008e-01	5.352220e+00
-1.034000e+02	-1.793209e-01	5.355489e+00
-9.870000e+01	7.669446e-01	5.715516e+00
-9.400000e+01	6.098250e-01	5.659992e+00
-8.930000e+01	-2.082836e-02	5.417419e+00
-8.460000e+01	7.669668e-01	5.720425e+00
-7.990000e+01	4.506801e-01	5.598186e+00
-7.520000e+01	7.655393e-01	5.715021e+00
-7.050000e+01	7.673915e-01	5.716538e+00
-6.580000e+01	1.239768e+00	5.905185e+00
-6.110000e+01	2.186800e+00	6.264708e+00
-5.640000e+01	1.555789e+00	6.031275e+00
-5.170000e+01	1.239403e+00	5.906335e+00
-4.700000e+01	9.248714e-01	5.775775e+00
-4.230000e+01	2.972119e+00	6.570642e+00
-3.760000e+01	1.712985e+00	6.077849e+00
-3.290000e+01	7.073048e+00	8.095253e+00
-2.820000e+01	7.072024e+00	8.165949e+00
-2.350000e+01	1.369774e+01	1.059819e+01
-1.880000e+01	2.126405e+01	1.331862e+01
-1.410000e+01	3.213725e+01	1.686424e+01
-9.400000e+00	4.097501e+01	2.008973e+01
-4.700000e+00	5.264377e+01	2.373945e+01
0.000000e+00	5.026428e+01	2.284441e+01
4.700000e+00	5.641071e+01	2.528253e+01
9.400000e+00	5.389593e+01	2.419547e+01
1.410000e+01	5.011368e+01	2.272281e+01
1.880000e+01	4.537384e+01	2.151288e+01
2.350000e+01	4.427103e+01	2.125140e+01
2.820000e+01	3.528985e+01	1.804623e+01
3.290000e+01	3.308460e+01	1.735171e+01
3.760000e+01	2.472760e+01	1.473212e+01
4.230000e+01	2.236038e+01	1.333688e+01
4.700000e+01	1.227430e+01	9.990478e+00
5.170000e+01	1.227830e+01	9.967023e+00
5.640000e+01	1.101960e+01	9.636512e+00
6.110000e+01	7.544099e+00	8.347401e+00
6.580000e+01	6.124077e+00	7.799685e+00
7.050000e+01	5.025773e+00	7.374331e+00
7.520000e+01	4.862016e+00	7.272982e+00
7.990000e+01	5.336949e+00	7.448827e+00
8.460000e+01	5.024346e+00	7.363503e+00
8.930000e+01	3.289959e+00	6.702715e+00
9.400000e+01	3.288902e+00	6.694499e+00
9.870000e+01	2.183113e+00	6.266848e+00
1.034000e+02	4.236697e+00	7.068754e+00
1.081000e+02	1.555815e+00	6.023378e+00
1.128000e+02	2.976062e+00	6.573083e+00
1.175000e+02	2.027099e+00	6.167288e+00
1.222000e+02	2.342078e+00	6.295163e+00
1.269000e+02	2.027538e+00	6.175075e+00
1.316000e+02	3.760929e+00	6.882693e+00
1.363000e+02	2.657066e+00	6.412796e+00
1.410000e+02	2.184004e+00	6.262457e+00
1.457000e+02	2.658810e+00	6.438417e+00
1.504000e+02	3.132925e+00	6.639936e+00
1.551000e+02	2.655965e+00	6.459675e+00
1.598000e+02	1.396200e+00	5.962419e+00
1.645000e+02	2.657532e+00	6.454833e+00
1.692000e+02	1.553580e+00	6.025948e+00
1.739000e+02	1.555701e+00	6.031740e+00
1.786000e+02	1.869430e+00	6.146410e+00
1.833000e+02	1.360589e-01	5.476416e+00
1.880000e+02	1.396700e+00	5.965200e+00
1.927000e+02	1.869233e+00	6.149429e+00
1.974000e+02	1.396671e+00	5.927573e+00
2.021000e+02	1.710891e+00	6.082570e+00
2.068000e+02	1.351149e-01	5.470497e+00
2.115000e+02	6.087973e-01	5.659548e+00
2.162000e+02	4.520916e-01	5.596844e+00
2.209000e+02	1.081034e+00	5.840944e+00
2.256000e+02	1.395923e+00	5.962442e+00
2.303000e+02	1.081523e+00	5.845789e+00
2.350000e+02	1.394910e+00	5.962201e+00
2.397000e+02	-2.279066e-02	5.411823e+00
2.444000e+02	6.106709e-01	5.659921e+00
2.491000e+02	9.239743e-01	5.780966e+00
2.538000e+02	6.093846e-01	5.660806e+00
2.585000e+02	-2.200282e-02	5.414170e+00
2.632000e+02	2.936637e-01	5.537810e+00
2.679000e+02	6.079042e-01	5.660024e+00
2.726000e+02	4.514568e-01	5.596404e+00
2.773000e+02	-2.227436e-02	5.413771e+00
2.820000e+02	-4.950301e-01	5.228116e+00
2.867000e+02	-1.800841e-01	5.351636e+00
2.914000e+02	4.521644e-01	5.566084e+00
2.961000e+02	1.367445e-01	5.474601e+00
3.008000e+02	4.507093e-01	5.597059e+00
3.055000e+02	-4.951177e-01	5.229247e+00
3.102000e+02	4.508321e-01	5.594431e+00
3.149000e+02	-1.795058e-01	5.349816e+00
3.196000e+02	4.497935e-01	5.596178e+00
3.243000e+02	6.079365e-01	5.646611e+00
3.290000e+02	-3.371847e-01	5.289693e+00
3.337000e+02	-4.950017e-01	5.228494e+00
3.384000e+02	-3.368173e-01	5.287767e+00
3.431000e+02	-2.150163e-02	5.410233e+00
3.478000e+02	-2.047121e-02	5.415870e+00
3.525000e+02	-2.236259e-02	5.411545e+00
3.572000e+02	-1.793505e-01	5.352840e+00
3.619000e+02	-2.212241e-02	5.412485e+00
3.666000e+02	1.363297e-01	5.477835e+00
3.713000e+02	-1.782685e-01	5.351891e+00
3.760000e+02	-3.366517e-01	5.290508e+00
3.807000e+02	-1.787759e-01	5.354710e+00
