# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
-2.914000e+02	3.508286e-01	4.968648e+00
-2.867000e+02	1.403030e-02	4.847657e+00
-2.820000e+02	-4.958482e-01	4.660697e+00
-2.773000e+02	-6.665702e-01	4.598939e+00
-2.726000e+02	1.244170e-02	4.846977e+00
-2.679000e+02	1.842309e-01	4.908338e+00
-2.632000e+02	-3.261782e-01	4.723624e+00
-2.585000e+02	-4.967752e-01	4.660441e+00
-2.538000e+02	-3.262002e-01	4.721130e+00
-2.491000e+02	1.844940e-01	4.905367e+00
-2.444000e+02	-1.561229e-01	4.783092e+00
-2.397000e+02	-4.962651e-01	4.660286e+00
-2.350000e+02	1.527809e-02	4.845695e+00
-2.303000e+02	-6.665594e-01	4.599256e+00
-2.256000e+02	-1.555890e-01	4.784811e+00
-2.209000e+02	3.521527e-01	4.971077e+00
-2.162000e+02	-3.264428e-01	4.721923e+00
-2.115000e+02	-8.360642e-01	4.536754e+00
-2.068000e+02	-3.267831e-01	4.720982e+00
-2.021000e+02	1.840832e-01	4.908461e+00
-1.974000e+02	1.823235e-01	4.908415e+00
-1.927000e+02	3.514892e-01	4.971149e+00
-1.880000e+02	5.212518e-01	5.032112e+00
-1.833000e+02	-1.572119e-01	4.784773e+00
-1.786000e+02	-4.966381e-01	4.660763e+00
-1.739000e+02	-4.965974e-01	4.660234e+00
-1.692000e+02	-3.247032e-01	4.721846e+00
-1.645000e+02	3.547716e-01	4.970483e+00
-1.598000e+02	1.848774e-01	4.908243e+00
-1.551000e+02	3.530794e-01	4.970912e+00
-1.504000e+02	-4.962651e-01	4.660286e+00
-1.457000e+02	-4.960795e-01	4.659191e+00
-1.410000e+02	3.532594e-01	4.970261e+00
-1.363000e+02	-3.269250e-01	4.722768e+00
-1.316000e+02	1.819288e-01	4.908787e+00
-1.269000e+02	1.282681e-02	4.847375e+00
-1.222000e+02	-6.664197e-01	4.598597e+00
-1.175000e+02	-4.967752e-01	4.660441e+00
-1.128000e+02	-1.563906e-01	4.784411e+00
-1.081000e+02	1.152764e-02	4.846538e+00
-1.034000e+02	3.531464e-01	4.968474e+00
-9.870000e+01	1.026230e+00	5.218730e+00
-9.400000e+01	2.723436e+00	5.839536e+00
-8.930000e+01	6.893266e-01	5.094806e+00
-8.460000e+01	6.903196e-01	5.091348e+00
-7.990000e+01	5.222137e-01	5.031256e+00
-7.520000e+01	1.202305e+00	5.246147e+00
-7.050000e+01	8.648949e-01	5.153891e+00
-6.580000e+01	8.625233e-01	5.154327e+00
-6.110000e+01	1.204509e+00	5.278770e+00
-5.640000e+01	1.715543e+00	5.464851e+00
-5.170000e+01	-3.261473e-01	4.721015e+00
-4.700000e+01	3.536105e-01	4.969109e+00
-4.230000e+01	6.945149e-01	5.094662e+00
-3.760000e+01	4.437181e+00	6.451944e+00
-3.290000e+01	4.945271e+00	6.629399e+00
-2.820000e+01	9.027623e+00	8.074883e+00
-2.350000e+01	1.701538e+01	1.070380e+01
-1.880000e+01	2.363600e+01	1.310786e+01
-1.410000e+01	3.128304e+01	1.561082e+01
-9.400000e+00	4.504304e+01	1.970523e+01
-4.700000e+00	5.117228e+01	2.163472e+01
0.000000e+00	5.830330e+01	2.392128e+01
4.700000e+00	6.591724e+01	2.596775e+01
9.400000e+00	6.746944e+01	2.660475e+01
1.410000e+01	5.827894e+01	2.388582e+01
1.880000e+01	5.948324e+01	2.374609e+01
2.350000e+01	5.336837e+01	2.245822e+01
2.820000e+01	4.655928e+01	2.071317e+01
3.290000e+01	4.470629e+01	1.961349e+01
3.760000e+01	3.349696e+01	1.630888e+01
4.230000e+01	2.686589e+01	1.402527e+01
4.700000e+01	2.040190e+01	1.201094e+01
5.170000e+01	1.972362e+01	1.182286e+01
5.640000e+01	1.326624e+01	9.534951e+00
6.110000e+01	1.173699e+01	8.995662e+00
6.580000e+01	6.979877e+00	7.307223e+00
7.050000e+01	6.136985e+00	7.036727e+00
7.520000e+01	5.109884e+00	6.700437e+00
7.990000e+01	6.296355e+00	7.040759e+00
8.460000e+01	7.495300e+00	7.560967e+00
8.930000e+01	4.435761e+00	6.416618e+00
9.400000e+01	3.755063e+00	6.163680e+00
9.870000e+01	2.902818e+00	5.897790e+00
1.034000e+02	4.262797e+00	6.391555e+00
1.081000e+02	3.067868e+00	5.955936e+00
1.128000e+02	1.542132e+00	5.402857e+00
1.175000e+02	2.388610e+00	5.597643e+00
1.222000e+02	1.711417e+00	5.424473e+00
1.269000e+02	1.881276e+00	5.494058e+00
1.316000e+02	8.623723e-01	5.156698e+00
1.363000e+02	2.051537e+00	5.588219e+00
1.410000e+02	2.396584e+00	5.705118e+00
1.457000e+02	1.379410e+00	5.338935e+00
1.504000e+02	2.556102e+00	5.775701e+00
1.551000e+02	2.218143e+00	5.646951e+00
1.598000e+02	2.899823e+00	5.893778e+00
1.645000e+02	1.884347e+00	5.518945e+00
1.692000e+02	1.545426e+00	5.367336e+00
1.739000e+02	1.036973e+00	5.213644e+00
1.786000e+02	1.883370e+00	5.487807e+00
1.833000e+02	1.717267e+00	5.465682e+00
1.880000e+02	2.733049e+00	5.830326e+00
1.927000e+02	1.033465e+00	5.215656e+00
1.974000e+02	6.916294e-01	5.096251e+00
2.021000e+02	1.375042e+00	5.341453e+00
2.068000e+02	1.545333e+00	5.396034e+00
2.115000e+02	1.542493e+00	5.402875e+00
2.162000e+02	1.709457e+00	5.467671e+00
2.209000e+02	1.033536e+00	5.218659e+00
2.256000e+02	6.927989e-01	5.097222e+00
2.303000e+02	1.373554e+00	5.308283e+00
2.350000e+02	1.828810e-01	4.910450e+00
2.397000e+02	1.375070e+00	5.332609e+00
2.444000e+02	1.206190e+00	5.271489e+00
2.491000e+02	-1.545923e-01	4.782878e+00
2.538000e+02	1.280066e-02	4.843482e+00
2.585000e+02	-4.960885e-01	4.661138e+00
2.632000e+02	-4.955916e-01	4.660047e+00
2.679000e+02	1.882584e-02	4.844556e+00
2.726000e+02	-3.264901e-01	4.722997e+00
2.773000e+02	-1.554083e-01	4.783893e+00
2.820000e+02	3.534893e-01	4.934484e+00
2.867000e+02	-6.649035e-01	4.598178e+00
2.914000e+02	-8.360642e-01	4.536754e+00
2.961000e+02	-1.566571e-01	4.785310e+00
3.008000e+02	-8.360642e-01	4.536754e+00
3.055000e+02	-6.655735e-01	4.597006e+00
3.102000e+02	-3.275522e-01	4.718518e+00
3.149000e+02	-6.666305e-01	4.596714e+00
3.196000e+02	-4.974404e-01	4.660491e+00
3.243000e+02	-8.360642e-01	4.536754e+00
3.290000e+02	-6.658173e-01	4.598858e+00
3.337000e+02	-4.967752e-01	4.660441e+00
3.384000e+02	-4.950898e-01	4.660080e+00
3.431000e+02	-3.255850e-01	4.722583e+00
3.478000e+02	-4.964196e-01	4.660027e+00
3.525000e+02	-8.360642e-01	4.536754e+00
3.572000e+02	-4.971248e-01	4.660644e+00
3.619000e+02	-8.360642e-01	4.536754e+00
3.666000e+02	-3.255454e-01	4.723792e+00
3.713000e+02	-6.667694e-01	4.598800e+00
3.760000e+02	-4.974745e-01	4.660846e+00
3.807000e+02	-8.360642e-01	4.536754e+00
3.854000e+02	-8.360642e-01	4.536754e+00
