# $E$ (ev)	Int (arb. units)
4.000000e-01	2.036875e+00
3.896607e-01	1.941113e+00
3.793215e-01	1.851360e+00
3.689822e-01	1.847178e+00
3.586430e-01	1.842995e+00
3.483037e-01	1.889014e+00
3.379645e-01	1.962346e+00
3.276252e-01	1.982907e+00
3.172859e-01	1.826487e+00
3.069467e-01	1.670068e+00
2.966074e-01	1.775957e+00
2.862682e-01	1.942689e+00
2.759289e-01	1.938196e+00
2.655897e-01	1.670069e+00
2.552504e-01	1.401941e+00
2.449111e-01	1.641762e+00
2.345719e-01	1.894189e+00
2.242326e-01	1.901881e+00
2.138934e-01	1.715568e+00
2.035541e-01	1.568695e+00
1.932149e-01	1.664414e+00
1.828756e-01	1.760132e+00
1.725363e-01	1.720985e+00
1.621971e-01	1.629878e+00
1.518578e-01	1.598907e+00
1.415186e-01	1.705680e+00
1.311793e-01	1.812454e+00
1.208401e-01	1.800620e+00
1.105008e-01	1.773517e+00
1.001616e-01	1.759139e+00
8.982229e-02	1.759230e+00
7.948304e-02	1.773236e+00
6.914378e-02	2.051641e+00
5.880452e-02	2.330047e+00
4.846527e-02	2.673882e+00
3.812601e-02	3.055812e+00
2.778675e-02	3.897477e+00
1.744750e-02	6.427081e+00
7.108239e-03	8.956685e+00
-3.231018e-03	9.789373e+00
-1.357027e-02	1.018742e+01
-2.390953e-02	9.613889e+00
-3.424879e-02	7.442460e+00
-4.458805e-02	5.271031e+00
-5.492730e-02	4.684446e+00
-6.526656e-02	4.163627e+00
-7.560582e-02	3.828544e+00
-8.594507e-02	3.650294e+00
-9.628433e-02	3.440309e+00
-1.066236e-01	3.006585e+00
-1.169628e-01	2.572861e+00
-1.273021e-01	2.547139e+00
-1.376414e-01	2.691117e+00
-1.479806e-01	2.728287e+00
-1.583199e-01	2.501765e+00
-1.686591e-01	2.275243e+00
-1.789984e-01	2.396971e+00
-1.893376e-01	2.570593e+00
-1.996769e-01	2.585740e+00
-2.100162e-01	2.409019e+00
-2.203554e-01	2.239744e+00
-2.306947e-01	2.279605e+00
-2.410339e-01	2.319466e+00
-2.513732e-01	2.477266e+00
-2.617124e-01	2.708461e+00
-2.720517e-01	2.858920e+00
-2.823910e-01	2.683259e+00
-2.927302e-01	2.507599e+00
-3.030695e-01	2.359015e+00
-3.134087e-01	2.218047e+00
-3.237480e-01	2.151386e+00
-3.340872e-01	2.215403e+00
-3.444265e-01	2.279419e+00
-3.547658e-01	2.480070e+00
-3.651050e-01	2.688745e+00
-3.754443e-01	2.640370e+00
-3.857835e-01	2.360879e+00
-3.961228e-01	2.137203e+00
-4.064620e-01	2.371697e+00
-4.168013e-01	2.606191e+00
-4.271405e-01	2.649587e+00
-4.374798e-01	2.607378e+00
-4.478191e-01	2.559244e+00
