# $E$ (mev)	Int (arb. units)	Err. bars (arb. units)
1.283000e+03	4.103474e+00	3.761648e-01
1.271000e+03	3.341613e+00	3.292590e-01
1.259000e+03	3.920952e+00	3.465665e-01
1.247000e+03	3.761189e+00	3.261364e-01
1.235000e+03	3.174254e+00	2.922138e-01
1.223000e+03	3.257077e+00	2.890189e-01
1.211000e+03	3.404988e+00	2.857403e-01
1.199000e+03	3.033916e+00	2.640685e-01
1.187000e+03	3.508280e+00	2.782247e-01
1.175000e+03	3.643818e+00	2.754467e-01
1.163000e+03	3.371584e+00	2.601234e-01
1.151000e+03	2.982291e+00	2.403198e-01
1.139000e+03	3.220877e+00	2.434754e-01
1.127000e+03	2.853895e+00	2.292303e-01
1.115000e+03	3.167321e+00	2.415060e-01
1.103000e+03	3.462980e+00	2.525638e-01
1.091000e+03	2.910870e+00	2.315764e-01
1.079000e+03	3.610546e+00	2.578961e-01
1.067000e+03	2.984028e+00	2.344474e-01
1.055000e+03	2.726142e+00	2.240875e-01
1.043000e+03	3.057673e+00	2.373215e-01
1.031000e+03	3.076725e+00	2.380841e-01
1.019000e+03	3.519675e+00	2.546747e-01
1.007000e+03	4.422266e+00	2.854560e-01
9.950000e+02	4.495605e+00	2.878016e-01
9.830000e+02	5.232824e+00	3.105110e-01
9.710000e+02	6.504671e+00	3.462087e-01
9.590000e+02	6.597175e+00	3.486715e-01
9.470000e+02	7.869606e+00	3.808369e-01
9.350000e+02	8.936797e+00	4.057990e-01
9.230000e+02	8.660660e+00	3.994865e-01
9.110000e+02	9.461893e+00	4.141358e-01
8.990000e+02	9.563508e+00	4.197914e-01
8.870000e+02	9.508449e+00	4.185861e-01
8.750000e+02	8.844976e+00	4.037161e-01
8.630000e+02	7.591562e+00	3.740094e-01
8.510000e+02	7.813921e+00	3.794776e-01
8.390000e+02	7.831853e+00	3.799007e-01
8.270000e+02	9.301024e+00	4.210376e-01
8.150000e+02	1.020145e+01	4.486594e-01
8.030000e+02	1.022973e+01	4.574875e-01
7.910000e+02	1.102448e+01	4.839211e-01
7.790000e+02	9.738785e+00	4.685575e-01
7.670000e+02	9.660795e+00	4.765319e-01
7.550000e+02	8.085521e+00	4.505885e-01
7.430000e+02	6.865603e+00	4.249702e-01
7.330000e+02	6.277995e+00	4.732217e-01
7.310000e+02	6.269328e+00	4.161099e-01
7.230000e+02	5.997327e+00	4.482613e-01
7.190000e+02	5.727381e+00	4.080590e-01
7.130000e+02	6.665341e+00	4.588610e-01
7.070000e+02	4.734917e+00	3.866043e-01
7.030000e+02	6.514154e+00	4.411942e-01
6.950000e+02	3.616171e+00	3.479662e-01
6.930000e+02	5.471145e+00	3.938216e-01
6.830000e+02	4.160313e+00	2.527210e-01
6.730000e+02	4.196010e+00	3.246970e-01
6.630000e+02	4.568878e+00	3.350064e-01
6.530000e+02	4.655934e+00	3.308828e-01
6.430000e+02	4.465400e+00	3.173422e-01
6.330000e+02	4.550086e+00	3.139857e-01
6.230000e+02	4.232344e+00	2.970523e-01
6.130000e+02	3.576324e+00	2.680568e-01
6.030000e+02	3.392639e+00	2.564594e-01
5.930000e+02	4.039038e+00	2.774023e-01
5.830000e+02	3.591604e+00	2.572001e-01
5.730000e+02	3.610316e+00	2.578797e-01
5.630000e+02	4.107566e+00	2.750629e-01
5.530000e+02	3.721005e+00	2.618090e-01
5.430000e+02	3.150216e+00	2.409030e-01
5.330000e+02	4.047410e+00	2.753913e-01
