# $E$ (ev)	$\mu (E)$ (arb. units)
5.250000e+02	2.879808e-02
5.252000e+02	2.455664e-02
5.254000e+02	2.214685e-02
5.256000e+02	2.917220e-02
5.258000e+02	2.468877e-02
5.260000e+02	2.779261e-02
5.262000e+02	2.883639e-02
5.264000e+02	3.002737e-02
5.266000e+02	2.955402e-02
5.268000e+02	3.021517e-02
5.270000e+02	2.777820e-02
5.272000e+02	3.201506e-02
5.274000e+02	3.383165e-02
5.276000e+02	3.679812e-02
5.278000e+02	4.148769e-02
5.280000e+02	5.170137e-02
5.282000e+02	8.443815e-02
5.284000e+02	1.500284e-01
5.286000e+02	2.766760e-01
5.288000e+02	4.029219e-01
5.290000e+02	4.678136e-01
5.292000e+02	4.668140e-01
5.294000e+02	4.056469e-01
5.296000e+02	3.487792e-01
5.298000e+02	3.021980e-01
5.300000e+02	2.682994e-01
5.302000e+02	2.629308e-01
5.304000e+02	2.604280e-01
5.306000e+02	2.687393e-01
5.308000e+02	3.074079e-01
5.310000e+02	4.041141e-01
5.312000e+02	5.490120e-01
5.314000e+02	7.006805e-01
5.316000e+02	8.078637e-01
5.318000e+02	8.839804e-01
5.320000e+02	9.467830e-01
5.322000e+02	9.755169e-01
5.324000e+02	9.969571e-01
5.326000e+02	1.000000e+00
5.328000e+02	9.940194e-01
5.330000e+02	9.801799e-01
5.332000e+02	9.459699e-01
5.334000e+02	8.844855e-01
5.336000e+02	8.245331e-01
5.338000e+02	7.756089e-01
5.340000e+02	6.912706e-01
5.342000e+02	6.307309e-01
5.344000e+02	5.566553e-01
5.346000e+02	5.129862e-01
5.348000e+02	4.770721e-01
5.350000e+02	4.407527e-01
5.352000e+02	4.170556e-01
5.354000e+02	4.089420e-01
5.356000e+02	4.238018e-01
5.358000e+02	4.304827e-01
5.360000e+02	4.382435e-01
5.362000e+02	4.552090e-01
5.366000e+02	5.069405e-01
5.370000e+02	5.729542e-01
5.374000e+02	6.435823e-01
5.378000e+02	6.861398e-01
5.382000e+02	7.360801e-01
5.386000e+02	7.649428e-01
5.390000e+02	7.806048e-01
5.394000e+02	8.054917e-01
5.398000e+02	8.209279e-01
5.402000e+02	8.402499e-01
5.406000e+02	8.731276e-01
5.410000e+02	8.864699e-01
5.414000e+02	9.107925e-01
5.418000e+02	9.348642e-01
5.422000e+02	9.215225e-01
5.426000e+02	9.209731e-01
5.430000e+02	8.918727e-01
5.434000e+02	8.548321e-01
5.438000e+02	8.272449e-01
5.442000e+02	7.977860e-01
5.446000e+02	7.622195e-01
5.450000e+02	7.287821e-01
5.454000e+02	6.837801e-01
5.458000e+02	6.558583e-01
5.462000e+02	6.239571e-01
5.466000e+02	6.069960e-01
5.470000e+02	5.939472e-01
5.474000e+02	5.800231e-01
5.478000e+02	5.792810e-01
5.482000e+02	5.847505e-01
5.486000e+02	5.874934e-01
5.490000e+02	5.670039e-01
5.494000e+02	5.554835e-01
5.498000e+02	5.417506e-01
5.502000e+02	5.405542e-01
