# $E$ (ev)	$\mu (E)$ (arb. units)
5.200000e+02	3.492406e-03
5.201500e+02	1.412338e-02
5.203000e+02	-5.759106e-03
5.204500e+02	-1.134894e-02
5.206000e+02	-4.036407e-02
5.207500e+02	-1.539216e-02
5.209000e+02	-2.300766e-03
5.210500e+02	-3.401228e-03
5.212000e+02	-2.471020e-02
5.213500e+02	-8.933188e-03
5.215000e+02	1.318718e-02
5.216500e+02	8.970938e-03
5.218000e+02	-1.179803e-02
5.219500e+02	-2.018830e-02
5.221000e+02	-7.467689e-03
5.222500e+02	-3.858935e-03
5.224000e+02	3.994616e-03
5.225500e+02	4.266348e-03
5.227000e+02	-2.489226e-04
5.228500e+02	2.957031e-02
5.230000e+02	3.189416e-02
5.231500e+02	8.816311e-04
5.233000e+02	-6.021620e-02
5.234500e+02	-3.459854e-02
5.236000e+02	1.594290e-02
5.237500e+02	1.114778e-02
5.239000e+02	-2.769436e-02
5.240500e+02	-9.290346e-03
5.242000e+02	9.752346e-03
5.243500e+02	2.161725e-02
5.245000e+02	2.669293e-02
5.246500e+02	1.801654e-02
5.248000e+02	2.907226e-02
5.249500e+02	-4.805337e-03
5.251000e+02	1.358390e-02
5.252500e+02	-1.653341e-02
5.254000e+02	-3.143114e-03
5.255500e+02	2.962331e-02
5.257000e+02	3.802629e-04
5.258500e+02	-1.969744e-02
5.260000e+02	-5.385754e-03
5.261500e+02	-2.715703e-02
5.263000e+02	-7.578051e-03
5.264500e+02	-2.806361e-02
5.266000e+02	-4.358410e-02
5.267500e+02	5.644124e-03
5.269000e+02	-5.079817e-03
5.270500e+02	4.716111e-02
5.272000e+02	7.151230e-02
5.273500e+02	3.045964e-02
5.275000e+02	2.694156e-03
5.276500e+02	1.697343e-02
5.278000e+02	8.716755e-03
5.279500e+02	3.092721e-02
5.281000e+02	5.759592e-02
5.282500e+02	6.212530e-02
5.284000e+02	6.471237e-02
5.285500e+02	7.599932e-02
5.287000e+02	1.146846e-01
